Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispan_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Pct_WYM,Pct_WYF
3,460,"Adamsville city, Alabama",,1,2000,4965.0,3763.0,1133.0,26.0,206.0,1796.0,235.0,1967.0,77.0,533.0,76.0,600.0,12.0,2.0,1.0,14.0,0.11469933184855234,0.11947127605490594
3,484,"Addison town, Alabama",,1,2000,723.0,719.0,1.0,1.0,44.0,348.0,45.0,371.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12643678160919541,0.12129380053908356
3,676,"Akron town, Alabama",,1,2000,521.0,93.0,422.0,8.0,7.0,43.0,4.0,50.0,19.0,189.0,37.0,233.0,4.0,0.0,0.0,4.0,0.16279069767441862,0.08
3,820,"Alabaster city, Alabama",,1,2000,22619.0,19839.0,2250.0,348.0,1006.0,9676.0,932.0,10163.0,135.0,1051.0,167.0,1199.0,200.0,35.0,19.0,148.0,0.10396858205870194,0.09170520515595788
3,988,"Albertville city, Alabama",,1,2000,17247.0,14859.0,353.0,2773.0,884.0,6927.0,934.0,7932.0,27.0,172.0,25.0,181.0,1653.0,492.0,295.0,1120.0,0.12761657283095135,0.11775088250126071
3,1132,"Alexander City city, Alabama",,1,2000,15008.0,10589.0,4258.0,67.0,597.0,4924.0,552.0,5665.0,286.0,1888.0,341.0,2370.0,35.0,7.0,5.0,32.0,0.12124289195775792,0.09744042365401588
3,1180,"Alexandria CDP, Alabama",,1,2000,3692.0,3265.0,360.0,24.0,206.0,1585.0,223.0,1680.0,34.0,172.0,22.0,188.0,14.0,4.0,5.0,10.0,0.1299684542586751,0.13273809523809524
3,1228,"Aliceville city, Alabama",,1,2000,2567.0,829.0,1708.0,10.0,28.0,368.0,25.0,461.0,124.0,717.0,184.0,991.0,7.0,3.0,0.0,3.0,0.07608695652173914,0.05422993492407809
3,1396,"Allgood town, Alabama",,1,2000,629.0,528.0,2.0,273.0,64.0,275.0,45.0,253.0,0.0,1.0,0.0,1.0,163.0,46.0,21.0,110.0,0.23272727272727273,0.17786561264822134
3,1660,"Altoona town, Alabama",,1,2000,984.0,939.0,25.0,25.0,48.0,415.0,63.0,524.0,4.0,9.0,4.0,16.0,16.0,4.0,3.0,9.0,0.11566265060240964,0.12022900763358779
