Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P012BVD01,P012BVD02,P012BVD03,P012BVD04,P012BVD05,P012BVD06,P012BVD07,P012BVD08,P012BVD09,P012BVD10,P012BVD11,P012BVD12,P012BVD13,P012BVD14,P012BVD15,P012BVD16,P012BVD17,P012BVD18,P012BVD19,P012BVD20,P012BVD21,P012BVD22,P012BVD23,P012BVD24,P012BVD25,P012BVD26,P012BVD27,P012BVD28,P012BVD29,P012BVD30,P012BVD31,P012BVD32,P012BVD33,P012BVD34,P012BVD35,P012BVD36,P012BVD37,P012BVD38,P012BVD39,P012BVD40,P012BVD41,P012BVD42,P012BVD43,P012BVD44,P012BVD45,P012BVD46,P012BVD47,P012BVD48,P012BVD49
3,00124,Abbeville city,,01,2000,1193,525,50,49,39,37,16,8,12,17,33,26,29,35,36,45,19,9,15,6,4,9,13,13,5,668,40,51,51,29,20,10,6,35,43,35,37,46,45,28,29,4,14,14,25,37,28,16,25
3,00460,Adamsville city,,01,2000,1133,533,37,70,55,32,20,7,5,13,34,50,38,42,46,27,12,5,3,2,4,13,6,9,3,600,41,60,52,34,19,1,7,15,38,61,64,49,46,28,9,8,4,6,9,10,12,9,18
3,00484,Addison town,,01,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,00676,Akron town,,01,2000,422,189,23,21,20,7,2,2,2,6,17,8,8,11,21,11,6,0,1,1,7,4,6,2,3,233,17,17,16,9,5,2,4,17,20,18,8,19,20,10,7,7,1,5,5,5,10,5,6
3,00820,Alabaster city,,01,2000,2250,1051,80,111,103,54,29,13,16,23,53,109,105,93,79,58,34,11,19,10,14,21,8,5,3,1199,96,84,104,54,29,23,11,50,86,136,109,104,85,62,42,16,23,5,17,27,13,11,12
3,00988,Albertville city,,01,2000,353,172,21,23,25,8,7,5,1,6,14,15,10,8,13,2,5,1,1,0,0,2,0,2,3,181,22,24,13,8,4,2,3,8,17,22,16,6,8,4,9,0,1,1,6,3,2,1,1
3,01132,Alexander City city,,01,2000,4258,1888,194,195,186,113,54,26,20,73,128,128,131,127,119,96,60,26,38,30,30,46,30,20,18,2370,173,211,178,96,62,38,34,111,187,186,166,171,154,134,101,34,48,34,35,77,57,38,45
3,01180,Alexandria CDP,,01,2000,360,172,8,9,19,18,10,1,2,3,7,8,9,20,15,11,9,2,3,3,3,4,5,3,0,188,8,12,17,14,2,3,0,3,12,5,19,20,19,6,13,5,5,3,6,11,3,1,1
3,01228,Aliceville city,,01,2000,1708,717,80,102,101,56,33,10,6,19,37,37,36,28,46,19,20,8,16,7,6,14,15,8,13,991,74,80,89,64,41,23,8,48,53,73,66,60,53,35,37,16,14,7,19,36,22,27,46
3,01396,Allgood town,,01,2000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01660,Altoona town,,01,2000,25,9,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,16,1,1,1,0,1,0,1,2,0,0,0,2,3,2,0,0,0,0,0,1,0,0,1
3,01708,Andalusia city,,01,2000,2152,964,108,109,74,58,33,20,14,29,73,55,66,75,54,50,38,14,17,16,12,19,14,8,8,1188,95,105,79,63,46,16,15,66,79,67,78,82,81,45,62,21,34,13,29,30,29,31,22
3,01756,Anderson town,,01,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
