Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P012HVD01,P012HVD02,P012HVD03,P012HVD04,P012HVD05,P012HVD06,P012HVD07,P012HVD08,P012HVD09,P012HVD10,P012HVD11,P012HVD12,P012HVD13,P012HVD14,P012HVD15,P012HVD16,P012HVD17,P012HVD18,P012HVD19,P012HVD20,P012HVD21,P012HVD22,P012HVD23,P012HVD24,P012HVD25,P012HVD26,P012HVD27,P012HVD28,P012HVD29,P012HVD30,P012HVD31,P012HVD32,P012HVD33,P012HVD34,P012HVD35,P012HVD36,P012HVD37,P012HVD38,P012HVD39,P012HVD40,P012HVD41,P012HVD42,P012HVD43,P012HVD44,P012HVD45,P012HVD46,P012HVD47,P012HVD48,P012HVD49
3,00124,Abbeville city,,01,2000,105,56,5,8,3,3,1,0,1,5,5,8,4,3,1,3,1,0,4,0,0,0,0,1,0,49,7,8,2,2,4,0,0,1,5,4,4,3,1,1,1,2,0,0,0,0,1,0,3
3,00460,Adamsville city,,01,2000,26,12,2,1,1,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,14,0,3,1,0,0,0,1,0,4,0,0,2,0,2,0,0,1,0,0,0,0,0,0
3,00484,Addison town,,01,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,00676,Akron town,,01,2000,8,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,00820,Alabaster city,,01,2000,348,200,22,23,17,10,17,2,1,5,24,22,13,16,9,6,5,2,3,0,0,2,0,1,0,148,18,18,15,5,5,1,2,6,16,23,10,7,8,7,1,0,1,2,2,1,0,0,0
3,00988,Albertville city,,01,2000,2773,1653,213,152,78,98,120,54,46,174,284,165,106,64,33,22,15,3,3,2,6,4,6,2,3,1120,214,138,69,60,56,40,35,104,151,93,61,31,28,11,10,3,4,2,2,5,2,1,0
3,01132,Alexander City city,,01,2000,67,35,9,1,6,1,2,1,1,2,2,3,2,1,0,1,2,0,0,0,0,0,0,0,1,32,7,3,2,1,1,1,1,1,3,3,3,1,1,1,2,1,0,0,0,0,0,0,0
3,01180,Alexandria CDP,,01,2000,24,14,2,3,2,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,2,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3,01228,Aliceville city,,01,2000,10,7,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
3,01396,Allgood town,,01,2000,273,163,20,13,10,5,10,6,12,13,22,24,12,12,3,1,0,0,0,0,0,0,0,0,0,110,24,11,10,10,4,1,1,5,18,9,12,3,2,0,0,0,0,0,0,0,0,0,0
3,01660,Altoona town,,01,2000,25,16,1,0,1,0,1,2,0,1,1,0,2,3,1,2,0,0,0,0,0,0,1,0,0,9,1,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
