GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1600000US0100124,100124,"Abbeville city, Alabama",105,56,5,8,3,3,1,0,1,5,5,8,4,3,1,3,1,0,4,0,0,0,0,1,0,49,7,8,2,2,4,0,0,1,5,4,4,3,1,1,1,2,0,0,0,0,1,0,3
1600000US0100460,100460,"Adamsville city, Alabama",26,12,2,1,1,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,14,0,3,1,0,0,0,1,0,4,0,0,2,0,2,0,0,1,0,0,0,0,0,0
1600000US0100484,100484,"Addison town, Alabama",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0100676,100676,"Akron town, Alabama",8,4,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1600000US0100820,100820,"Alabaster city, Alabama",348,200,22,23,17,10,17,2,1,5,24,22,13,16,9,6,5,2,3,0,0,2,0,1,0,148,18,18,15,5,5,1,2,6,16,23,10,7,8,7,1,0,1,2,2,1,0,0,0
1600000US0100988,100988,"Albertville city, Alabama",2773,1653,213,152,78,98,120,54,46,174,284,165,106,64,33,22,15,3,3,2,6,4,6,2,3,1120,214,138,69,60,56,40,35,104,151,93,61,31,28,11,10,3,4,2,2,5,2,1,0
1600000US0101132,101132,"Alexander City city, Alabama",67,35,9,1,6,1,2,1,1,2,2,3,2,1,0,1,2,0,0,0,0,0,0,0,1,32,7,3,2,1,1,1,1,1,3,3,3,1,1,1,2,1,0,0,0,0,0,0,0
1600000US0101180,101180,"Alexandria CDP, Alabama",24,14,2,3,2,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,2,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1600000US0101228,101228,"Aliceville city, Alabama",10,7,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
1600000US0101396,101396,"Allgood town, Alabama",273,163,20,13,10,5,10,6,12,13,22,24,12,12,3,1,0,0,0,0,0,0,0,0,0,110,24,11,10,10,4,1,1,5,18,9,12,3,2,0,0,0,0,0,0,0,0,0,0
1600000US0101660,101660,"Altoona town, Alabama",25,16,1,0,1,0,1,2,0,1,1,0,2,3,1,2,0,0,0,0,0,0,1,0,0,9,1,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
1600000US0101708,101708,"Andalusia city, Alabama",69,36,5,4,2,0,1,0,2,1,3,5,2,3,4,1,1,0,1,0,0,1,0,0,0,33,3,2,2,1,1,0,0,2,2,4,5,0,2,1,1,0,1,1,2,1,0,1,1
1600000US0101756,101756,"Anderson town, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0101852,101852,"Anniston city, Alabama",409,212,26,19,10,15,11,7,5,19,31,20,18,9,4,5,1,2,3,2,1,1,2,0,1,197,23,31,16,6,7,2,4,11,19,16,11,10,12,5,4,3,5,2,2,2,1,2,3
1600000US0102116,102116,"Arab city, Alabama",47,24,3,3,2,2,1,0,0,2,5,3,1,1,0,0,0,0,0,0,0,0,1,0,0,23,1,2,4,2,1,0,0,2,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0
1600000US0102260,102260,"Ardmore town, Alabama",18,6,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,3,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1600000US0102320,102320,"Argo town, Alabama",13,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0
1600000US0102428,102428,"Ariton town, Alabama",6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1600000US0102500,102500,"Arley town, Alabama",4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0102836,102836,"Ashford city, Alabama",28,18,4,2,1,1,1,0,0,1,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,10,2,1,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1600000US0102860,102860,"Ashland city, Alabama",53,33,2,0,2,1,0,0,1,0,7,5,3,1,4,5,0,0,0,0,0,0,0,1,1,20,3,1,0,0,0,0,0,1,2,2,2,2,3,0,0,1,1,0,2,0,0,0,0
1600000US0102908,102908,"Ashville town, Alabama",65,36,6,1,2,2,0,0,0,2,8,5,1,3,0,1,0,0,1,1,0,1,0,2,0,29,6,5,1,1,0,1,2,3,1,3,0,1,0,0,3,0,1,0,0,0,1,0,0
1600000US0102956,102956,"Athens city, Alabama",922,575,77,52,42,41,32,13,25,55,83,68,30,14,24,5,7,1,2,0,1,1,2,0,0,347,64,51,22,14,17,15,8,25,41,34,16,8,9,4,6,1,0,4,2,2,1,3,0
1600000US0103004,103004,"Atmore city, Alabama",56,26,2,3,2,0,1,0,1,2,2,2,2,2,2,1,0,0,0,1,1,1,1,0,0,30,3,2,3,1,1,0,0,3,2,2,1,3,4,0,0,1,0,0,2,1,0,0,1
1600000US0103028,103028,"Attalla city, Alabama",164,102,13,13,7,4,2,5,1,14,14,10,7,2,3,2,1,0,0,0,2,1,1,0,0,62,14,6,4,4,2,4,1,3,4,7,6,2,0,1,0,0,2,0,0,1,0,1,0
1600000US0103076,103076,"Auburn city, Alabama",666,366,20,23,14,11,28,22,30,76,51,28,21,17,6,8,7,0,1,0,2,0,0,0,1,300,32,20,12,10,31,17,12,36,47,20,13,13,8,12,2,0,4,1,1,7,1,1,0
1600000US0103220,103220,"Autaugaville town, Alabama",8,6,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1600000US0103364,103364,"Avon town, Alabama",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1600000US0103556,103556,"Babbie town, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0103676,103676,"Baileyton town, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0103940,103940,"Banks town, Alabama",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600000US0104660,104660,"Bay Minette city, Alabama",80,44,5,4,0,3,0,2,1,5,4,4,5,2,3,4,1,0,0,0,0,1,0,0,0,36,4,4,6,0,3,0,0,1,2,0,3,4,1,0,3,2,1,0,2,0,0,0,0
1600000US0104684,104684,"Bayou La Batre city, Alabama",44,21,2,1,1,0,0,1,1,1,0,2,0,2,0,4,1,0,0,1,0,2,1,1,0,23,4,0,0,0,1,0,1,0,1,2,2,1,2,0,1,0,1,0,1,1,2,1,2
1600000US0104852,104852,"Bear Creek town, Alabama",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
