Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P12BD001,P12BD002,P12BD003,P12BD004,P12BD005,P12BD006,P12BD007,P12BD008,P12BD009,P12BD010,P12BD011,P12BD012,P12BD013,P12BD014,P12BD015,P12BD016,P12BD017,P12BD018,P12BD019,P12BD020,P12BD021,P12BD022,P12BD023,P12BD024,P12BD025,P12BD026,P12BD027,P12BD028,P12BD029,P12BD030,P12BD031,P12BD032,P12BD033,P12BD034,P12BD035,P12BD036,P12BD037,P12BD038,P12BD039,P12BD040,P12BD041,P12BD042,P12BD043,P12BD044,P12BD045,P12BD046,P12BD047,P12BD048,P12BD049
3,00100,Abanda CDP,,01,2010,58,25,2,1,1,1,1,0,0,1,1,2,2,5,0,2,1,1,1,0,1,1,0,1,0,33,1,3,2,2,0,0,0,3,2,0,0,2,5,2,1,1,3,1,2,0,2,0,1
3,00124,Abbeville city,,01,2010,1113,505,34,47,39,29,17,5,13,24,32,40,30,29,27,29,40,8,18,5,8,16,6,5,4,608,43,42,45,34,14,6,7,15,41,37,40,24,50,36,34,21,13,13,11,22,20,15,25
3,00460,Adamsville city,,01,2010,2030,924,62,87,103,61,48,10,17,35,41,61,78,75,67,46,54,17,21,2,10,14,8,1,6,1106,90,95,106,61,31,11,9,31,64,92,104,80,94,74,57,16,16,4,10,22,13,11,15
3,00484,Addison town,,01,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,00676,Akron town,,01,2010,308,137,10,12,13,5,5,3,0,4,2,6,10,13,9,13,9,5,6,4,2,0,1,2,3,171,8,14,11,14,2,1,1,4,6,13,12,14,13,21,13,4,3,3,3,2,5,1,3
3,00820,Alabaster city,,01,2010,4105,1988,145,188,206,118,73,22,14,53,123,140,175,176,185,127,84,30,37,14,22,24,15,11,6,2117,161,161,189,90,43,25,21,66,125,186,218,196,189,134,130,24,46,15,24,30,19,15,10
3,00988,Albertville city,,01,2010,405,230,15,18,14,12,2,2,6,18,29,18,20,20,17,8,16,1,2,2,3,4,1,2,0,175,12,16,17,8,5,2,0,11,12,12,14,13,14,8,8,3,2,2,6,4,3,1,2
3,01132,Alexander City city,,01,2010,4757,2147,232,193,200,111,64,40,19,89,137,123,132,143,121,135,131,34,42,28,29,56,37,27,24,2610,202,185,205,122,86,35,45,126,196,170,170,174,154,194,133,53,68,39,45,68,53,45,42
3,01180,Alexandria CDP,,01,2010,400,192,12,15,18,14,9,1,1,9,12,9,11,13,8,16,21,2,5,4,4,4,3,0,1,208,12,9,11,11,3,0,1,4,17,11,12,16,22,24,16,4,1,8,8,5,7,4,2
3,01228,Aliceville city,,01,2010,1861,814,86,89,80,53,42,16,12,28,36,33,25,62,45,42,54,14,21,8,10,17,18,7,16,1047,75,53,95,57,33,15,11,38,68,69,80,70,71,71,72,18,23,14,26,24,21,18,25
3,01396,Allgood town,,01,2010,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01660,Altoona town,,01,2010,16,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,11,0,1,0,0,2,0,0,0,0,1,0,0,0,3,2,0,1,0,1,0,0,0,0
3,01708,Andalusia city,,01,2010,2337,1088,95,102,94,77,45,16,17,42,75,61,78,64,64,77,45,21,26,14,14,27,14,9,11,1249,68,83,116,59,55,26,10,40,97,83,90,66,85,84,82,17,20,18,34,41,32,13,30
3,01756,Anderson town,,01,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01852,Anniston city,,01,2010,11903,5444,483,490,458,286,191,85,82,210,345,361,305,280,367,429,338,116,148,76,104,125,67,58,40,6459,517,431,390,275,196,102,99,281,495,428,358,371,465,495,438,127,184,89,129,184,164,135,106
3,02116,Arab city,,01,2010,8,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,02260,Ardmore town,,01,2010,23,11,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,12,0,0,4,1,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0
3,02320,Argo town,,01,2010,148,67,5,10,9,3,3,0,0,2,2,6,9,7,4,3,2,0,0,1,0,1,0,0,0,81,7,10,8,3,3,1,1,0,9,7,9,10,4,5,1,0,1,0,1,0,1,0,0
3,02428,Ariton town,,01,2010,147,75,2,6,8,4,4,0,0,2,6,3,4,12,5,6,4,4,1,0,2,0,1,1,0,72,3,5,6,2,2,1,0,3,2,6,2,8,7,4,6,2,0,1,0,3,3,2,4
3,02500,Arley town,,01,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,02836,Ashford town,,01,2010,418,186,11,12,8,8,9,2,2,10,8,6,8,7,16,14,14,6,8,0,6,14,7,0,10,232,8,11,14,6,6,7,5,8,9,9,13,17,21,16,10,5,5,4,15,20,8,6,9
3,02860,Ashland town,,01,2010,491,233,16,17,25,18,6,3,7,9,16,14,13,14,16,18,8,6,5,3,3,4,4,7,1,258,14,17,17,10,9,3,2,11,15,22,24,15,14,14,14,4,6,5,10,11,11,4,6
3,02908,Ashville city,,01,2010,450,224,10,23,20,8,5,3,8,11,8,23,10,19,11,11,14,11,11,2,5,10,1,0,0,226,10,21,16,16,6,5,2,8,13,18,12,17,15,21,15,2,11,3,1,10,2,0,2
3,02956,Athens city,,01,2010,3841,1745,112,133,156,71,65,33,22,62,145,130,114,131,158,111,95,28,37,25,26,31,30,20,10,2096,145,140,140,91,54,34,26,87,143,149,153,154,162,154,111,35,67,25,49,52,57,32,36
3,03004,Atmore city,,01,2010,5672,3560,172,135,180,89,71,43,46,211,422,484,407,318,267,260,177,49,48,35,39,47,32,18,10,2112,180,184,178,101,75,36,26,90,153,157,127,126,139,124,124,36,38,24,45,47,52,28,22
3,03028,Attalla city,,01,2010,771,368,12,22,27,14,22,9,7,9,18,21,27,29,17,32,32,14,14,8,5,11,8,6,4,403,19,30,30,20,8,5,3,10,20,18,22,36,26,26,38,9,12,3,9,24,10,16,9
3,03076,Auburn city,,01,2010,8834,4040,307,273,303,190,240,197,214,466,346,241,223,209,195,183,156,57,64,32,38,41,30,18,17,4794,283,268,312,195,252,216,234,477,426,324,292,301,286,211,210,64,87,41,68,94,61,48,44
3,03220,Autaugaville town,,01,2010,581,271,25,24,17,16,10,7,3,12,21,15,15,19,23,12,9,4,7,9,6,11,3,2,1,310,20,17,32,9,11,3,4,11,21,21,22,26,19,14,13,6,11,8,13,12,9,4,4
3,03364,Avon town,,01,2010,10,5,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
3,03508,Axis CDP,,01,2010,204,105,10,2,11,4,4,1,1,3,3,4,5,9,10,15,9,0,3,2,3,1,4,0,1,99,7,5,6,2,4,0,0,4,3,6,4,5,12,13,11,3,0,1,0,6,4,0,3
3,03556,Babbie town,,01,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,03676,Baileyton town,,01,2010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,03724,Bakerhill town,,01,2010,99,44,8,6,2,2,2,0,1,2,3,3,0,0,1,4,3,1,2,0,1,2,1,0,0,55,5,4,1,2,0,0,0,4,2,1,5,2,4,5,3,2,2,2,1,4,4,1,1
3,03820,Ballplay CDP,,01,2010,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,03940,Banks town,,01,2010,44,23,0,4,1,1,0,1,1,1,0,3,0,4,1,1,1,0,2,0,1,0,1,0,0,21,0,0,3,0,0,0,1,0,3,3,1,0,3,0,2,1,1,0,2,0,1,0,0
3,04660,Bay Minette city,,01,2010,2837,1321,112,100,115,82,83,45,23,69,101,100,69,61,97,91,62,25,21,12,8,17,15,7,6,1516,111,116,144,71,138,53,29,74,105,91,77,97,86,90,79,23,22,15,22,24,18,13,18
3,04684,Bayou La Batre city,,01,2010,314,148,17,16,13,7,10,2,2,8,5,9,5,9,10,15,7,4,3,0,0,2,3,1,0,166,16,20,15,8,4,2,5,3,15,12,14,11,7,10,6,5,0,0,3,2,4,3,1
3,04852,Bear Creek town,,01,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,04900,Beatrice town,,01,2010,229,103,4,9,4,8,4,1,4,5,5,10,8,3,1,8,8,2,1,4,5,4,4,1,0,126,8,7,12,4,3,1,1,1,6,8,6,7,4,11,20,6,2,1,2,3,4,4,5
3,04948,Beaverton town,,01,2010,10,6,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
3,05140,Belgreen CDP,,01,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,05164,Belk town,,01,2010,6,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
