GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
0500000US01001,01001,"Autauga County, Alabama",7473,3447,288,350,367,224,131,54,56,130,212,202,253,271,238,163,136,57,57,32,45,70,57,25,29,4026,285,325,365,232,124,51,49,166,291,265,311,339,271,209,152,55,66,51,76,114,91,72,66
0500000US01003,01003,"Baldwin County, Alabama",14444,7047,586,682,747,423,292,139,108,301,509,434,545,518,450,330,237,96,116,65,122,119,91,74,63,7397,607,647,667,397,291,132,82,297,474,483,590,595,468,353,294,93,152,83,125,191,138,120,118
0500000US01005,01005,"Barbour County, Alabama",13451,6790,503,582,609,387,232,147,111,363,582,533,590,513,432,375,217,65,81,49,86,110,88,73,62,6661,493,568,596,373,194,91,90,229,421,421,510,461,448,400,258,73,127,89,113,249,169,119,169
0500000US01007,01007,"Bibb County, Alabama",4624,2584,183,205,191,124,88,38,59,167,252,249,229,218,166,131,75,30,35,17,26,37,22,17,25,2040,142,222,199,89,70,29,33,94,151,142,150,141,124,100,65,21,37,22,29,51,51,33,45
0500000US01009,01009,"Blount County, Alabama",606,291,22,25,27,17,5,4,5,11,21,14,24,21,26,14,11,4,6,3,5,11,5,5,5,315,23,22,33,14,6,2,4,7,17,16,25,23,21,24,12,2,11,6,5,9,13,14,6
0500000US01011,01011,"Bullock County, Alabama",8564,4325,304,397,365,242,130,74,82,219,374,289,355,336,301,232,163,51,85,40,59,61,55,58,53,4239,294,361,380,252,116,60,45,172,265,253,302,304,269,236,185,44,91,58,73,118,128,116,117
0500000US01013,01013,"Butler County, Alabama",8732,3966,361,399,449,263,178,63,52,164,187,211,224,267,280,221,159,46,81,41,72,100,54,47,47,4766,335,372,411,304,159,87,73,191,294,282,348,343,355,242,163,85,85,60,104,144,125,95,109
0500000US01015,01015,"Calhoun County, Alabama",20810,9530,751,941,878,577,413,189,178,441,670,591,671,715,676,504,338,111,185,114,122,183,122,97,63,11280,828,927,859,519,429,214,206,563,731,753,836,896,775,588,415,151,229,146,229,352,261,192,181
0500000US01017,01017,"Chambers County, Alabama",13943,6380,538,591,590,360,245,106,99,259,401,444,463,501,462,345,267,77,121,72,95,126,83,73,62,7563,527,647,581,354,253,120,97,313,510,479,562,568,500,451,345,101,174,114,132,224,202,149,160
