Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispan_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Pct_WYM,Pct_WYF
1,99001,"Autauga County, Alabama",1,1,2000,43671.0,35221.0,7473.0,610.0,2172.0,17335.0,2044.0,17886.0,595.0,3447.0,622.0,4026.0,332.0,82.0,47.0,278.0,0.12529564464955292,0.11427932461142794
1,99003,"Baldwin County, Alabama",3,1,2000,140415.0,122366.0,14444.0,2466.0,6902.0,59953.0,6638.0,62413.0,1263.0,7047.0,1199.0,7397.0,1345.0,298.0,173.0,1121.0,0.11512351341884476,0.10635604761828465
1,99005,"Barbour County, Alabama",5,1,2000,29038.0,14887.0,13451.0,478.0,951.0,7720.0,750.0,7167.0,1240.0,6790.0,977.0,6661.0,329.0,92.0,42.0,149.0,0.12318652849740933,0.10464629552113855
1,99007,"Bibb County, Alabama",7,1,2000,20826.0,15966.0,4624.0,210.0,1038.0,8031.0,958.0,7935.0,476.0,2584.0,315.0,2040.0,124.0,25.0,14.0,86.0,0.1292491595069107,0.12073093887838689
1,99009,"Blount County, Alabama",9,1,2000,51024.0,48512.0,606.0,2718.0,3049.0,24167.0,2923.0,24345.0,42.0,291.0,33.0,315.0,1607.0,373.0,251.0,1111.0,0.126163777051351,0.12006572191415076
1,99011,"Bullock County, Alabama",11,1,2000,11714.0,2958.0,8564.0,322.0,231.0,1706.0,121.0,1252.0,747.0,4325.0,645.0,4239.0,219.0,84.0,32.0,103.0,0.1354044548651817,0.09664536741214058
1,99013,"Butler County, Alabama",13,1,2000,21399.0,12492.0,8732.0,143.0,715.0,5970.0,725.0,6522.0,720.0,3966.0,814.0,4766.0,74.0,9.0,9.0,69.0,0.11976549413735343,0.11116222017785955
1,99015,"Calhoun County, Alabama",15,1,2000,112249.0,88537.0,20810.0,1753.0,6045.0,42760.0,5973.0,45777.0,1798.0,9530.0,1931.0,11280.0,968.0,271.0,170.0,785.0,0.14137043966323667,0.13048037223933417
1,99017,"Chambers County, Alabama",17,1,2000,36583.0,22271.0,13943.0,280.0,1237.0,10724.0,1181.0,11547.0,1069.0,6380.0,1137.0,7563.0,142.0,18.0,25.0,138.0,0.11534875046624393,0.10227764787390664
1,99019,"Cherokee County, Alabama",19,1,2000,23988.0,22268.0,1330.0,204.0,1190.0,10955.0,1251.0,11313.0,106.0,639.0,99.0,691.0,107.0,21.0,14.0,97.0,0.10862619808306709,0.1105807478122514
1,99021,"Chilton County, Alabama",21,1,2000,39593.0,34330.0,4200.0,1152.0,2222.0,16930.0,2193.0,17400.0,328.0,2012.0,343.0,2188.0,736.0,183.0,95.0,416.0,0.1312463083284111,0.1260344827586207
1,99023,"Choctaw County, Alabama",23,1,2000,15922.0,8779.0,7027.0,107.0,493.0,4230.0,512.0,4549.0,471.0,3203.0,535.0,3824.0,47.0,6.0,8.0,60.0,0.116548463356974,0.11255220927676413
1,99025,"Clarke County, Alabama",25,1,2000,27867.0,15589.0,11989.0,180.0,872.0,7527.0,860.0,8062.0,939.0,5514.0,1004.0,6475.0,76.0,17.0,14.0,104.0,0.11584960807758735,0.10667328206400396
1,99027,"Clay County, Alabama",27,1,2000,14254.0,11776.0,2238.0,253.0,739.0,5764.0,644.0,6012.0,185.0,1065.0,167.0,1173.0,160.0,27.0,14.0,93.0,0.12820957668285912,0.10711909514304724
1,99029,"Cleburne County, Alabama",29,1,2000,14123.0,13380.0,523.0,198.0,837.0,6677.0,798.0,6703.0,44.0,252.0,37.0,271.0,123.0,30.0,12.0,75.0,0.12535569866706606,0.11905117111741012
1,99031,"Coffee County, Alabama",31,1,2000,43615.0,33631.0,8013.0,1183.0,2154.0,16534.0,1987.0,17097.0,655.0,3848.0,653.0,4165.0,644.0,167.0,100.0,539.0,0.13027700495947744,0.11621921974615429
1,99033,"Colbert County, Alabama",33,1,2000,54984.0,44825.0,9137.0,618.0,2538.0,21651.0,2636.0,23174.0,692.0,4145.0,675.0,4992.0,326.0,62.0,48.0,292.0,0.11722322294582237,0.11374816604815742
1,99035,"Conecuh County, Alabama",35,1,2000,14089.0,7806.0,6136.0,102.0,438.0,3830.0,430.0,3976.0,454.0,2771.0,478.0,3365.0,51.0,4.0,6.0,51.0,0.11436031331592689,0.10814889336016097
1,99037,"Coosa County, Alabama",37,1,2000,12202.0,7802.0,4172.0,158.0,447.0,3977.0,441.0,3825.0,324.0,2113.0,274.0,2059.0,118.0,34.0,7.0,40.0,0.11239627860196127,0.11529411764705882
1,99039,"Covington County, Alabama",39,1,2000,37631.0,32436.0,4648.0,292.0,1940.0,15621.0,1890.0,16815.0,311.0,2108.0,407.0,2540.0,143.0,16.0,14.0,149.0,0.12419179309903335,0.11239964317573595
1,99041,"Crenshaw County, Alabama",41,1,2000,13665.0,10088.0,3388.0,87.0,596.0,4850.0,560.0,5238.0,246.0,1518.0,277.0,1870.0,47.0,5.0,2.0,40.0,0.12288659793814433,0.10691103474608629
1,99043,"Cullman County, Alabama",43,1,2000,77483.0,75011.0,743.0,1688.0,4927.0,36889.0,4718.0,38122.0,130.0,401.0,69.0,342.0,1042.0,308.0,130.0,646.0,0.13356285071430507,0.12376055820785897
1,99045,"Dale County, Alabama",45,1,2000,49129.0,36541.0,10002.0,1642.0,2396.0,18431.0,2263.0,18110.0,852.0,4689.0,918.0,5313.0,841.0,149.0,153.0,801.0,0.12999837230752537,0.12495858641634457
1,99047,"Dallas County, Alabama",47,1,2000,46365.0,16496.0,29332.0,290.0,932.0,7856.0,858.0,8640.0,2320.0,12963.0,2615.0,16369.0,144.0,38.0,26.0,146.0,0.11863543788187372,0.09930555555555555
1,99049,"DeKalb County, Alabama",49,1,2000,64452.0,59652.0,1083.0,3578.0,3813.0,29005.0,3745.0,30647.0,72.0,484.0,90.0,599.0,2086.0,583.0,349.0,1492.0,0.13146009308739873,0.12219793128201782
1,99051,"Elmore County, Alabama",51,1,2000,65874.0,50737.0,13597.0,805.0,3055.0,25229.0,2835.0,25508.0,1585.0,7340.0,920.0,6257.0,428.0,92.0,67.0,377.0,0.12109080819691624,0.11114160263446762
1,99053,"Escambia County, Alabama",53,1,2000,38440.0,24754.0,11837.0,379.0,1554.0,12300.0,1434.0,12454.0,1158.0,6266.0,868.0,5571.0,198.0,43.0,31.0,181.0,0.12634146341463415,0.11514372892243456
