Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P012BVD01,P012BVD02,P012BVD03,P012BVD04,P012BVD05,P012BVD06,P012BVD07,P012BVD08,P012BVD09,P012BVD10,P012BVD11,P012BVD12,P012BVD13,P012BVD14,P012BVD15,P012BVD16,P012BVD17,P012BVD18,P012BVD19,P012BVD20,P012BVD21,P012BVD22,P012BVD23,P012BVD24,P012BVD25,P012BVD26,P012BVD27,P012BVD28,P012BVD29,P012BVD30,P012BVD31,P012BVD32,P012BVD33,P012BVD34,P012BVD35,P012BVD36,P012BVD37,P012BVD38,P012BVD39,P012BVD40,P012BVD41,P012BVD42,P012BVD43,P012BVD44,P012BVD45,P012BVD46,P012BVD47,P012BVD48,P012BVD49
1,99001,"Autauga County, Alabama",001,01,2000,7473,3447,288,350,367,224,131,54,56,130,212,202,253,271,238,163,136,57,57,32,45,70,57,25,29,4026,285,325,365,232,124,51,49,166,291,265,311,339,271,209,152,55,66,51,76,114,91,72,66
1,99003,"Baldwin County, Alabama",003,01,2000,14444,7047,586,682,747,423,292,139,108,301,509,434,545,518,450,330,237,96,116,65,122,119,91,74,63,7397,607,647,667,397,291,132,82,297,474,483,590,595,468,353,294,93,152,83,125,191,138,120,118
1,99005,"Barbour County, Alabama",005,01,2000,13451,6790,503,582,609,387,232,147,111,363,582,533,590,513,432,375,217,65,81,49,86,110,88,73,62,6661,493,568,596,373,194,91,90,229,421,421,510,461,448,400,258,73,127,89,113,249,169,119,169
1,99007,"Bibb County, Alabama",007,01,2000,4624,2584,183,205,191,124,88,38,59,167,252,249,229,218,166,131,75,30,35,17,26,37,22,17,25,2040,142,222,199,89,70,29,33,94,151,142,150,141,124,100,65,21,37,22,29,51,51,33,45
1,99009,"Blount County, Alabama",009,01,2000,606,291,22,25,27,17,5,4,5,11,21,14,24,21,26,14,11,4,6,3,5,11,5,5,5,315,23,22,33,14,6,2,4,7,17,16,25,23,21,24,12,2,11,6,5,9,13,14,6
1,99011,"Bullock County, Alabama",011,01,2000,8564,4325,304,397,365,242,130,74,82,219,374,289,355,336,301,232,163,51,85,40,59,61,55,58,53,4239,294,361,380,252,116,60,45,172,265,253,302,304,269,236,185,44,91,58,73,118,128,116,117
1,99013,"Butler County, Alabama",013,01,2000,8732,3966,361,399,449,263,178,63,52,164,187,211,224,267,280,221,159,46,81,41,72,100,54,47,47,4766,335,372,411,304,159,87,73,191,294,282,348,343,355,242,163,85,85,60,104,144,125,95,109
1,99015,"Calhoun County, Alabama",015,01,2000,20810,9530,751,941,878,577,413,189,178,441,670,591,671,715,676,504,338,111,185,114,122,183,122,97,63,11280,828,927,859,519,429,214,206,563,731,753,836,896,775,588,415,151,229,146,229,352,261,192,181
1,99017,"Chambers County, Alabama",017,01,2000,13943,6380,538,591,590,360,245,106,99,259,401,444,463,501,462,345,267,77,121,72,95,126,83,73,62,7563,527,647,581,354,253,120,97,313,510,479,562,568,500,451,345,101,174,114,132,224,202,149,160
1,99019,"Cherokee County, Alabama",019,01,2000,1330,639,53,53,55,31,25,13,18,19,38,39,36,56,49,42,32,14,16,6,14,10,8,4,8,691,49,39,46,22,23,17,10,27,45,37,50,57,49,50,33,17,19,13,15,29,13,11,20
1,99021,"Chilton County, Alabama",021,01,2000,4200,2012,167,217,216,113,73,30,36,76,139,96,134,151,137,108,70,27,37,22,41,60,31,12,19,2188,159,175,212,117,78,36,23,89,152,153,174,145,146,106,86,29,53,29,41,63,51,27,44
1,99023,"Choctaw County, Alabama",023,01,2000,7027,3203,254,297,310,193,109,36,39,94,182,174,223,240,237,195,153,61,85,42,54,74,63,33,55,3824,273,281,346,198,104,55,45,133,245,237,277,305,267,221,196,61,64,50,79,121,101,70,95
1,99025,"Clarke County, Alabama",025,01,2000,11989,5514,516,558,533,350,198,92,75,224,319,337,387,414,378,249,212,67,109,66,93,136,80,66,55,6475,539,580,529,332,227,105,87,253,466,449,496,524,359,303,253,98,133,89,125,175,136,100,117
1,99027,"Clay County, Alabama",027,01,2000,2238,1065,87,93,100,69,46,8,25,37,66,80,84,69,73,56,39,19,25,12,16,20,16,9,16,1173,66,90,105,69,40,12,12,34,89,85,91,94,67,75,61,17,24,19,16,28,35,22,22
1,99029,"Cleburne County, Alabama",029,01,2000,523,252,9,18,33,17,8,3,5,11,9,11,18,23,16,14,12,4,9,8,7,8,1,5,3,271,17,17,23,13,11,4,4,5,12,21,25,18,16,15,18,6,9,7,10,5,5,4,6
1,99031,"Coffee County, Alabama",031,01,2000,8013,3848,311,376,360,213,125,71,67,179,272,255,295,319,239,219,144,45,69,35,54,79,62,28,31,4165,298,379,299,206,146,52,45,204,276,270,286,353,273,262,177,67,86,57,71,99,107,46,106
1,99033,"Colbert County, Alabama",033,01,2000,9137,4145,342,357,398,240,146,79,62,165,236,247,276,286,281,285,191,58,72,64,74,107,86,57,36,4992,304,414,414,236,153,60,58,168,322,341,347,374,360,312,252,71,117,74,102,168,149,97,99
1,99035,"Conecuh County, Alabama",035,01,2000,6136,2771,228,320,307,195,82,42,37,98,155,142,194,176,166,169,117,29,46,20,51,81,53,29,34,3365,224,276,286,157,96,60,43,122,206,242,249,264,244,205,138,36,72,49,62,113,83,54,84
1,99037,"Coosa County, Alabama",037,01,2000,4172,2113,128,173,198,106,70,30,30,88,161,163,191,169,153,126,83,32,40,28,34,51,29,6,24,2059,142,154,158,106,77,29,22,40,139,147,179,160,148,112,97,26,48,35,48,72,37,42,41
1,99039,"Covington County, Alabama",039,01,2000,4648,2108,200,220,201,121,65,35,25,65,145,131,142,156,122,118,74,34,47,33,39,49,33,27,26,2540,207,218,184,130,92,34,37,114,165,149,160,180,177,130,110,38,70,38,64,70,72,57,44
1,99041,"Crenshaw County, Alabama",041,01,2000,3388,1518,120,141,144,94,55,23,20,54,73,59,103,102,106,95,68,11,49,29,31,48,42,17,34,1870,106,142,112,93,55,27,32,70,119,120,129,145,121,110,77,37,63,27,44,65,68,43,65
1,99043,"Cullman County, Alabama",043,01,2000,743,401,28,23,21,13,43,27,13,34,27,27,19,16,31,22,14,4,11,4,7,9,1,2,5,342,22,31,19,16,17,12,11,13,18,17,18,27,21,24,16,8,9,6,11,8,4,4,10
1,99045,"Dale County, Alabama",045,01,2000,10002,4689,477,525,490,291,189,92,72,208,374,287,325,349,308,208,153,46,42,42,38,76,53,23,21,5313,477,469,456,289,210,92,80,247,405,399,406,414,330,238,166,59,82,42,77,118,92,67,98
1,99047,"Dallas County, Alabama",047,01,2000,29332,12963,1276,1327,1356,852,530,215,186,537,762,707,859,959,806,647,492,190,234,139,200,280,183,129,97,16369,1278,1330,1402,885,574,253,233,670,1108,1007,1264,1258,999,844,616,249,364,222,328,517,376,274,318
1,99049,"DeKalb County, Alabama",049,01,2000,1083,484,50,44,45,21,13,8,8,22,41,30,39,33,35,27,21,4,12,4,7,10,7,1,2,599,60,41,45,25,12,9,8,36,30,38,41,51,48,34,23,9,19,9,10,14,14,7,16
1,99051,"Elmore County, Alabama",051,01,2000,13597,7340,467,550,566,308,302,184,192,599,833,669,686,564,474,300,198,73,82,39,59,71,53,42,29,6257,470,535,542,295,207,93,89,236,522,571,574,528,424,281,175,71,83,71,91,121,106,81,91
1,99053,"Escambia County, Alabama",053,01,2000,11837,6266,436,468,458,265,215,112,161,405,569,512,532,566,453,307,208,64,108,59,69,113,72,54,60,5571,427,486,441,274,187,87,100,220,378,338,394,394,384,308,229,85,116,70,120,154,131,101,147
1,99055,"Etowah County, Alabama",055,01,2000,15191,6879,616,689,671,480,277,116,107,282,461,442,456,502,459,373,221,80,116,76,78,157,120,59,41,8312,616,722,675,427,270,150,116,355,573,595,550,637,551,430,292,117,169,115,171,261,236,154,130
1,99057,"Fayette County, Alabama",057,01,2000,2207,1013,75,89,93,62,46,19,11,32,50,57,83,75,92,53,41,10,20,13,13,28,25,17,9,1194,73,88,102,53,36,11,13,41,60,88,87,93,76,73,52,18,19,23,30,46,44,34,34
1,99059,"Franklin County, Alabama",059,01,2000,1314,617,50,48,71,39,18,8,10,27,41,35,45,43,37,35,29,10,8,9,14,15,14,7,4,697,40,65,45,34,26,9,8,17,51,39,52,54,49,36,23,11,24,17,17,26,21,8,25
1,99061,"Geneva County, Alabama",061,01,2000,2743,1269,83,131,154,89,49,17,16,45,91,68,94,76,77,63,51,18,30,12,29,25,27,13,11,1474,88,116,138,71,41,16,19,49,96,91,117,120,84,73,75,31,45,22,38,47,34,26,37
1,99063,"Greene County, Alabama",063,01,2000,8013,3697,350,398,389,233,147,61,50,112,178,174,218,257,280,182,142,45,81,53,56,114,80,42,55,4316,326,346,294,232,155,49,50,157,258,250,323,353,310,249,169,76,86,49,97,153,108,79,147
1,99065,"Hale County, Alabama",065,01,2000,10131,4643,467,485,478,292,185,68,60,193,291,243,290,294,320,246,162,59,60,49,78,134,84,52,53,5488,462,456,486,284,196,94,74,214,360,349,415,441,355,246,181,78,114,66,99,163,133,96,126
1,99067,"Henry County, Alabama",067,01,2000,5268,2379,186,204,233,167,89,38,39,93,142,128,145,165,161,176,94,42,56,26,28,73,39,31,24,2889,172,240,226,148,92,46,30,107,185,167,192,214,222,148,154,39,77,42,69,101,81,61,76
1,99069,"Houston County, Alabama",069,01,2000,21840,9998,962,1030,1070,586,354,164,141,405,679,634,696,734,625,489,390,104,180,121,137,198,138,87,74,11842,942,1013,1015,615,337,219,169,530,887,892,896,873,806,562,467,163,214,147,203,309,250,161,172
1,99071,"Jackson County, Alabama",071,01,2000,2019,977,79,90,93,55,29,12,9,37,75,69,58,81,81,52,32,13,17,11,12,25,25,7,15,1042,69,91,82,43,24,12,16,28,71,79,64,88,78,72,39,15,22,15,29,41,32,11,21
1,99073,"Jefferson County, Alabama",073,01,2000,260608,118699,10302,11514,11553,6636,3925,1947,1858,5102,8335,7848,8525,9215,8619,6646,4099,1382,1900,1202,1695,2514,1878,1156,848,141909,9938,11078,11004,6628,4347,2251,2170,6465,10359,9830,11110,11913,10721,7838,5165,1801,2751,1697,2512,4175,3323,2210,2623
1,99075,"Lamar County, Alabama",075,01,2000,1906,870,56,81,91,44,39,14,12,31,55,61,70,77,54,54,27,8,16,11,15,23,17,10,4,1036,66,99,81,49,38,21,12,25,75,69,83,79,72,60,36,15,26,11,19,26,28,19,27
1,99077,"Lauderdale County, Alabama",077,01,2000,8663,3922,319,368,374,230,169,73,82,195,271,293,261,257,279,179,151,39,76,44,51,64,72,46,29,4741,306,378,378,206,202,101,81,220,312,331,383,347,296,247,180,66,105,59,87,150,112,100,94
1,99079,"Lawrence County, Alabama",079,01,2000,4648,2164,143,200,228,131,74,30,39,90,125,150,172,142,154,147,98,31,44,23,31,39,42,16,15,2484,146,192,212,136,59,32,25,89,153,199,182,192,202,157,132,42,42,29,44,79,66,34,40
1,99081,"Lee County, Alabama",081,01,2000,26071,12023,976,1192,1217,680,567,252,239,611,885,827,930,894,792,612,400,115,183,125,124,160,117,72,53,14048,1038,1160,1180,667,558,314,298,730,1090,996,1116,1056,952,663,491,152,238,181,216,329,242,197,184
1,99083,"Limestone County, Alabama",083,01,2000,8752,4843,315,302,334,196,144,88,104,286,466,527,541,452,329,216,155,51,67,42,54,72,43,35,24,3909,266,286,284,198,119,73,45,173,272,313,347,323,271,237,153,49,82,38,75,115,80,59,51
1,99085,"Lowndes County, Alabama",085,01,2000,9885,4516,358,435,546,333,189,69,59,154,258,253,329,322,296,207,166,76,89,55,62,89,70,45,56,5369,424,398,539,288,191,94,80,202,321,362,424,378,350,284,210,74,128,72,104,153,116,73,104
1,99087,"Macon County, Alabama",087,01,2000,20403,9163,688,777,767,451,599,266,264,529,497,405,481,587,570,525,386,128,179,114,174,247,248,160,121,11240,678,749,831,441,756,402,368,566,656,563,607,662,737,607,508,167,251,163,213,404,383,261,267
1,99089,"Madison County, Alabama",089,01,2000,63025,29666,2544,2722,2712,1523,1718,759,698,1694,2329,2097,2247,2239,1814,1450,968,311,398,223,294,374,252,180,120,33359,2436,2604,2528,1554,1817,930,822,1916,2750,2556,2797,2590,2070,1752,1120,375,464,306,384,517,463,317,291
1,99091,"Marengo County, Alabama",091,01,2000,11655,5232,436,580,643,323,179,80,71,188,279,283,320,343,322,283,233,77,98,61,76,130,103,66,58,6423,439,587,559,358,194,84,76,199,391,425,430,498,409,375,257,91,124,103,113,233,182,128,168
1,99093,"Marion County, Alabama",093,01,2000,1134,680,43,27,36,25,21,15,6,33,75,51,81,59,58,31,40,15,6,8,14,13,10,5,8,454,20,35,37,22,10,4,5,18,39,37,33,31,37,16,20,9,15,6,15,14,12,9,10
1,99095,"Marshall County, Alabama",095,01,2000,1207,603,51,71,66,32,30,17,9,20,46,47,36,45,38,23,21,9,8,2,5,9,7,4,7,604,51,64,54,26,20,7,9,20,43,50,48,26,46,35,24,2,10,6,17,14,16,10,6
1,99097,"Mobile County, Alabama",097,01,2000,133465,60990,6052,6702,6440,3704,2228,1001,897,2517,3572,3507,4128,4648,3962,3066,2105,751,1117,639,878,1206,926,520,424,72475,5822,6492,6282,3772,2373,1198,1135,3234,4798,4613,5459,5725,4804,3745,2718,1009,1472,866,1252,1982,1649,1020,1055
1,99099,"Monroe County, Alabama",099,01,2000,9747,4512,404,497,461,286,153,67,50,189,272,288,280,306,282,233,183,53,94,53,70,107,69,67,48,5235,431,443,459,299,164,81,71,199,358,344,350,397,368,262,184,84,86,63,105,149,125,97,116
1,99101,"Montgomery County, Alabama",101,01,2000,108583,50382,4418,4877,4912,2856,2335,1276,1040,2689,4130,3431,3665,3543,2979,2458,1530,513,680,441,631,839,560,320,259,58201,4375,4866,4674,2711,2464,1320,1119,3222,4844,4209,4564,4475,3813,2717,1855,704,993,617,888,1258,1020,702,791
1,99103,"Morgan County, Alabama",103,01,2000,12485,5927,485,637,607,330,187,90,97,266,503,472,480,422,407,267,189,66,83,51,66,75,71,38,38,6558,546,618,578,302,171,83,117,317,543,524,531,498,432,333,206,73,97,61,103,142,88,100,95
1,99105,"Perry County, Alabama",105,01,2000,8111,3623,355,401,387,257,138,55,54,143,178,188,220,242,183,185,140,50,88,48,74,92,55,40,50,4488,361,402,425,241,147,75,59,186,324,248,327,271,272,214,174,63,122,50,78,157,100,83,109
1,99107,"Pickens County, Alabama",107,01,2000,8999,4018,380,433,448,287,147,87,47,120,230,189,237,291,275,179,130,62,90,50,59,99,83,46,49,4981,358,400,449,316,184,86,55,204,287,317,355,348,316,258,183,77,103,62,103,152,130,101,137
1,99109,"Pike County, Alabama",109,01,2000,10835,4893,427,462,514,315,259,120,102,230,291,307,344,332,283,217,182,56,90,60,74,87,73,35,33,5942,428,431,484,270,306,142,150,288,431,386,432,461,355,299,199,85,138,69,108,127,145,96,112
1,99111,"Randolph County, Alabama",111,01,2000,4977,2369,201,254,220,140,103,47,39,103,153,141,136,193,148,116,90,38,51,35,21,55,34,28,23,2608,177,243,202,140,106,52,42,99,172,167,203,178,183,146,109,39,51,31,50,68,58,44,48
1,99113,"Russell County, Alabama",113,01,2000,20319,9344,815,956,902,543,314,113,134,367,666,585,682,660,645,484,354,127,205,108,176,225,135,89,59,10975,785,867,918,510,298,176,154,439,789,755,848,880,692,628,480,137,257,137,238,336,267,196,188
1,99115,"St. Clair County, Alabama",115,01,2000,5263,2924,168,190,217,106,83,58,60,189,305,283,290,298,173,156,89,49,44,27,31,47,23,21,17,2339,137,191,201,140,61,30,31,91,161,169,198,176,173,136,95,36,48,43,38,49,58,35,42
1,99117,"Shelby County, Alabama",117,01,2000,10606,4963,392,441,489,311,176,86,68,203,330,465,439,400,347,268,154,57,78,55,47,71,35,27,24,5643,387,421,482,266,215,105,107,243,461,494,498,516,417,301,199,50,86,55,58,112,70,46,54
1,99119,"Sumter County, Alabama",119,01,2000,10827,4875,437,553,526,308,171,83,72,189,295,254,305,346,329,222,174,64,95,47,74,112,80,63,76,5952,430,481,536,315,193,99,96,235,414,352,389,502,387,261,208,84,120,85,103,186,187,137,152
1,99121,"Talladega County, Alabama",121,01,2000,25339,12342,930,1049,1146,669,454,246,230,556,1060,966,982,974,832,662,426,149,202,126,164,207,135,95,82,12997,913,1037,1108,721,477,227,252,564,936,914,944,1007,893,698,484,177,262,184,224,328,275,203,169
1,99123,"Tallapoosa County, Alabama",123,01,2000,10518,4752,465,487,440,268,144,67,72,180,310,292,319,356,334,284,175,71,93,51,69,107,74,46,48,5766,417,524,467,258,170,84,77,247,424,401,419,395,386,348,245,82,112,70,103,186,135,101,115
1,99125,"Tuscaloosa County, Alabama",125,01,2000,48327,21757,2001,2138,1996,1187,1108,568,536,1135,1635,1333,1405,1524,1475,1024,664,239,314,198,293,389,290,156,149,26570,1965,2051,1908,1170,1736,853,747,1501,2082,1683,1790,1937,1813,1225,800,315,434,298,404,701,444,329,384
1,99127,"Walker County, Alabama",127,01,2000,4364,2061,172,201,203,111,96,31,27,94,121,112,148,159,146,105,90,19,42,23,32,37,35,31,26,2303,174,180,159,132,65,38,42,99,139,141,167,183,162,118,94,37,55,39,54,60,69,40,56
1,99129,"Washington County, Alabama",129,01,2000,4867,2324,193,263,252,154,79,37,31,64,140,121,150,155,152,139,105,27,42,32,42,56,49,22,19,2543,194,220,240,135,85,29,31,79,165,174,200,189,179,132,99,30,45,37,55,67,66,33,59
1,99131,"Wilcox County, Alabama",131,01,2000,9479,4350,439,448,450,315,186,73,47,159,273,252,303,294,245,231,147,48,60,41,58,104,67,53,57,5129,398,452,499,295,160,92,72,196,324,305,389,353,351,250,178,68,109,65,98,141,133,88,113
1,99133,"Winston County, Alabama",133,01,2000,94,44,1,5,5,1,1,0,1,3,5,4,5,3,0,3,2,1,0,1,1,0,0,1,1,50,5,6,4,2,0,1,0,2,2,2,3,1,7,3,3,1,0,0,1,3,1,1,2
1,99013,"Aleutians East Borough, Alaska",013,02,2000,45,40,0,0,0,0,0,4,1,0,4,3,9,10,5,2,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1,99016,"Aleutians West Census Area, Alaska",016,02,2000,165,132,0,0,0,1,0,1,0,6,14,36,25,14,14,10,7,1,0,1,2,0,0,0,0,33,0,0,0,0,0,2,1,10,3,6,1,6,4,0,0,0,0,0,0,0,0,0,0
1,99020,"Anchorage Municipality, Alaska",020,02,2000,15199,7845,657,762,751,397,269,157,156,395,653,639,793,683,569,356,230,54,94,44,53,62,42,22,7,7354,687,751,738,391,206,141,130,306,541,617,726,672,498,304,200,63,99,54,52,70,47,33,28
1,99050,"Bethel Census Area, Alaska",050,02,2000,61,47,2,4,4,3,2,0,0,0,3,5,6,4,8,4,1,0,1,0,0,0,0,0,0,14,0,0,7,1,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0
1,99060,"Bristol Bay Borough, Alaska",060,02,2000,7,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99068,"Denali Borough, Alaska",068,02,2000,27,22,0,0,1,0,0,1,0,2,3,5,1,2,2,2,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,99070,"Dillingham Census Area, Alaska",070,02,2000,18,13,0,0,2,1,1,0,1,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,99090,"Fairbanks North Star Borough, Alaska",090,02,2000,4843,2527,272,244,228,103,104,72,70,186,344,246,208,143,100,73,39,16,20,5,12,16,9,12,5,2316,305,253,237,100,75,43,56,165,253,221,181,146,103,61,29,13,16,5,16,18,8,8,4
1,99100,"Haines Borough, Alaska",100,02,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,99110,"Juneau City and Borough, Alaska",110,02,2000,248,152,7,4,9,14,1,0,3,11,15,20,13,10,25,6,2,1,3,4,1,3,0,0,0,96,8,11,7,2,2,1,2,2,3,4,7,14,9,10,3,0,3,0,0,4,4,0,0
1,99122,"Kenai Peninsula Borough, Alaska",122,02,2000,229,162,8,6,7,2,5,5,1,8,19,16,29,18,17,5,4,2,2,1,3,3,0,1,0,67,6,6,5,10,3,1,0,5,4,1,5,7,7,0,1,1,2,2,0,0,0,0,1
1,99130,"Ketchikan Gateway Borough, Alaska",130,02,2000,70,43,1,5,2,0,1,0,0,1,6,3,4,3,10,4,2,0,0,0,1,0,0,0,0,27,2,1,4,3,0,1,0,1,0,2,5,2,4,0,0,0,0,2,0,0,0,0,0
1,99150,"Kodiak Island Borough, Alaska",150,02,2000,134,87,4,10,6,4,6,2,0,2,4,8,14,10,5,3,3,0,0,0,0,3,0,3,0,47,4,8,10,1,1,0,0,1,2,2,8,5,0,0,2,0,1,0,0,1,0,0,1
1,99164,"Lake and Peninsula Borough, Alaska",164,02,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99170,"Matanuska-Susitna Borough, Alaska",170,02,2000,411,253,11,16,20,17,7,6,1,12,23,16,29,38,14,13,13,3,4,2,2,2,3,1,0,158,12,20,13,11,4,1,1,2,9,10,17,16,15,12,3,2,1,1,2,2,2,1,1
1,99180,"Nome Census Area, Alaska",180,02,2000,35,22,1,1,0,1,2,0,0,2,1,2,1,3,5,3,0,0,0,0,0,0,0,0,0,13,1,1,1,1,0,0,1,0,3,0,1,1,2,0,1,0,0,0,0,0,0,0,0
