Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P012HVD01,P012HVD02,P012HVD03,P012HVD04,P012HVD05,P012HVD06,P012HVD07,P012HVD08,P012HVD09,P012HVD10,P012HVD11,P012HVD12,P012HVD13,P012HVD14,P012HVD15,P012HVD16,P012HVD17,P012HVD18,P012HVD19,P012HVD20,P012HVD21,P012HVD22,P012HVD23,P012HVD24,P012HVD25,P012HVD26,P012HVD27,P012HVD28,P012HVD29,P012HVD30,P012HVD31,P012HVD32,P012HVD33,P012HVD34,P012HVD35,P012HVD36,P012HVD37,P012HVD38,P012HVD39,P012HVD40,P012HVD41,P012HVD42,P012HVD43,P012HVD44,P012HVD45,P012HVD46,P012HVD47,P012HVD48,P012HVD49
1,99001,Autauga County,001,01,2000,610,332,20,24,34,20,16,10,8,28,35,26,31,25,19,5,5,6,5,4,1,2,4,3,1,278,31,25,31,19,9,4,3,12,23,13,30,22,13,12,9,2,4,3,6,1,2,3,1
1,99003,Baldwin County,003,01,2000,2466,1345,122,103,84,71,60,26,40,101,146,113,112,100,69,59,44,15,24,14,15,17,3,5,2,1121,114,100,123,46,38,10,22,57,82,73,105,82,64,55,55,10,11,10,19,17,14,9,5
1,99005,Barbour County,005,01,2000,478,329,17,13,10,11,17,13,11,40,70,39,35,14,9,13,7,1,2,0,2,4,0,0,1,149,17,8,11,7,11,5,3,16,10,16,12,5,7,3,4,1,0,1,1,4,3,1,3
1,99007,Bibb County,007,01,2000,210,124,10,9,9,6,3,4,5,7,12,13,9,6,7,4,7,1,2,1,2,2,3,0,2,86,9,11,4,4,3,2,3,2,4,10,9,4,2,5,1,2,0,1,2,2,2,0,4
1,99009,Blount County,009,01,2000,2718,1607,183,167,103,69,65,46,53,140,195,171,117,103,63,36,17,4,11,5,9,14,9,9,18,1111,186,126,104,73,49,25,19,85,95,96,88,51,36,21,13,3,5,2,6,4,5,6,13
1,99011,Bullock County,011,01,2000,322,219,10,2,7,7,23,13,5,36,34,23,15,18,13,2,4,0,0,0,3,1,0,1,2,103,9,4,8,7,9,3,4,9,15,7,5,5,9,3,1,1,0,0,1,1,1,0,1
1,99013,Butler County,013,01,2000,143,74,3,8,3,1,2,2,0,4,5,6,0,7,2,11,7,2,0,3,2,3,1,2,0,69,5,4,3,5,0,0,1,3,3,1,6,2,6,7,2,3,2,2,2,3,5,1,3
1,99015,Calhoun County,015,01,2000,1753,968,98,60,53,52,56,33,30,100,133,102,62,58,37,32,16,5,13,5,4,7,7,2,3,785,96,86,56,34,36,16,19,65,64,67,43,51,44,19,21,5,14,9,12,9,7,7,5
1,99017,Chambers County,017,01,2000,280,142,22,14,10,5,3,4,1,5,15,10,11,10,9,4,1,3,1,2,2,3,2,4,1,138,16,9,5,3,6,4,1,11,18,6,3,14,2,8,6,6,3,2,1,2,5,2,5
1,99019,Cherokee County,019,01,2000,204,107,15,8,12,8,6,2,2,3,11,12,7,2,7,2,4,3,2,1,0,0,0,0,0,97,21,11,6,3,2,5,1,3,5,4,5,7,2,2,9,3,2,0,0,3,2,1,0
1,99021,Chilton County,021,01,2000,1152,736,68,41,41,36,34,14,27,72,114,98,52,38,36,24,10,4,4,0,7,9,4,2,1,416,59,36,38,20,20,14,9,32,48,37,26,20,16,10,7,3,1,4,5,4,1,4,2
1,99023,Choctaw County,023,01,2000,107,47,3,3,5,1,2,0,2,1,1,3,1,4,1,4,5,2,3,0,3,0,1,1,1,60,2,1,3,7,0,0,1,0,0,2,6,2,6,9,5,2,1,1,3,3,1,1,4
1,99025,Clarke County,025,01,2000,180,76,12,6,7,5,5,0,4,3,6,3,7,2,1,1,1,2,1,2,2,2,2,1,1,104,12,11,5,3,3,0,1,7,9,8,7,5,7,3,7,4,2,0,0,1,5,2,2
1,99027,Clay County,027,01,2000,253,160,12,9,9,4,5,1,4,13,28,17,12,9,9,9,2,2,2,2,1,0,1,3,6,93,8,5,7,3,1,2,2,6,11,8,10,6,8,0,5,2,2,0,3,0,1,1,2
1,99029,Cleburne County,029,01,2000,198,123,8,11,6,4,12,5,3,6,16,14,11,4,4,5,4,0,2,1,1,4,1,1,0,75,9,7,7,4,1,1,2,4,5,11,4,2,3,8,1,0,1,0,2,2,0,1,0
1,99031,Coffee County,031,01,2000,1183,644,65,61,60,40,29,19,14,65,54,48,39,40,41,17,21,4,4,3,10,2,5,1,2,539,69,55,48,38,23,4,10,25,49,39,22,53,36,24,10,5,2,4,6,6,4,4,3
1,99033,Colbert County,033,01,2000,618,326,41,32,21,18,12,8,11,13,39,21,24,28,18,12,8,3,4,4,5,0,0,2,2,292,38,38,32,10,8,8,4,18,21,27,20,16,13,10,6,1,5,2,3,5,4,1,2
1,99035,Conecuh County,035,01,2000,102,51,7,4,3,3,0,0,0,1,7,5,6,4,0,1,3,0,0,1,1,1,0,3,1,51,0,4,3,2,2,0,0,2,3,5,5,2,2,7,1,0,0,2,2,1,5,3,0
1,99037,Coosa County,037,01,2000,158,118,9,1,4,5,4,6,3,16,21,18,16,4,1,5,2,1,0,1,1,0,0,0,0,40,9,1,2,1,3,1,1,1,1,3,4,0,3,3,1,1,4,0,0,1,0,0,0
1,99039,Covington County,039,01,2000,292,143,23,13,11,4,6,1,2,3,15,9,6,10,8,6,5,3,5,0,4,4,1,3,1,149,11,13,11,4,1,2,1,6,9,8,16,9,12,13,5,3,5,2,2,7,5,2,2
1,99041,Crenshaw County,041,01,2000,87,47,7,8,4,3,1,0,0,1,3,5,3,2,1,1,3,0,3,0,0,0,1,1,0,40,2,6,3,0,1,1,0,0,3,5,1,4,1,2,5,2,2,0,0,0,0,1,1
