GEO.id,GEO.id2,placename,P012VD01,P012VD02,P012VD03,P012VD04,P012VD05,P012VD06,P012VD07,P012VD08,P012VD09,P012VD10,P012VD11,P012VD12,P012VD13,P012VD14,P012VD15,P012VD16,P012VD17,P012VD18,P012VD19,P012VD20,P012VD21,P012VD22,P012VD23,P012VD24,P012VD25,P012VD26,P012VD27,P012VD28,P012VD29,P012VD30,P012VD31,P012VD32,P012VD33,P012VD34,P012VD35,P012VD36,P012VD37,P012VD38,P012VD39,P012VD40,P012VD41,P012VD42,P012VD43,P012VD44,P012VD45,P012VD46,P012VD47,P012VD48,P012VD49
0500000US01001,01001,Autauga County,43671,21221,1502,1873,1953,1073,604,253,241,689,1278,1469,1938,1783,1500,1239,1080,398,531,308,400,497,328,171,113,22450,1521,1745,1785,1042,543,239,225,697,1434,1559,2060,1888,1528,1368,1211,416,555,356,473,647,502,341,315
0500000US01003,01003,Baldwin County,140415,68848,4386,4937,5212,3143,1739,796,740,2069,3995,4423,5302,5378,5001,4571,3948,1364,2034,1379,1898,2745,1966,1157,665,71567,4235,4549,4932,2926,1655,722,679,2086,4093,4509,5447,5781,5233,4804,4328,1545,2150,1406,1939,2988,2463,1598,1499
0500000US01005,01005,Barbour County,29038,14970,929,1073,1081,706,411,251,212,720,1229,1156,1309,1191,987,1002,697,227,307,181,311,401,288,178,123,14068,859,980,1075,680,352,157,151,437,829,852,1040,993,971,968,727,246,360,247,322,576,519,338,389
0500000US01007,01007,Bibb County,20826,10745,777,769,699,469,292,157,161,462,900,900,862,860,764,674,563,194,242,151,187,293,182,84,103,10081,672,761,755,384,262,127,112,403,706,742,737,718,649,638,530,203,269,138,218,337,323,166,231
0500000US01009,01009,Blount County,51024,25476,1835,1906,1886,1076,653,344,297,931,1821,1868,2033,1924,1849,1601,1406,511,751,409,556,785,484,320,230,25548,1693,1727,1776,1049,604,277,251,935,1660,1812,1933,1855,1729,1731,1516,502,724,467,603,945,724,549,486
0500000US01011,01011,Bullock County,11714,6140,375,465,423,278,184,104,108,318,529,431,521,521,447,369,259,95,132,64,99,121,117,95,85,5574,362,412,452,291,138,74,55,221,333,311,379,404,360,329,270,69,152,89,126,191,199,166,191
0500000US01013,01013,Butler County,21399,10019,679,818,880,551,335,119,121,316,520,562,657,762,734,671,528,187,256,157,232,356,243,194,141,11380,679,721,819,607,309,160,119,353,634,620,816,806,813,667,573,233,268,215,305,495,417,369,382
0500000US01015,01015,Calhoun County,112249,53702,3463,3749,3849,2447,1736,849,851,2264,3580,3594,4019,4169,4068,3761,2783,1001,1421,904,1209,1678,1168,697,442,58547,3463,3661,3620,2204,1793,879,897,2389,3519,3739,4127,4509,4257,3884,3138,1053,1641,1061,1592,2505,2048,1364,1204
0500000US01017,01017,Chambers County,36583,17285,1255,1288,1265,785,490,231,210,611,1133,1211,1226,1256,1248,1148,940,321,451,308,394,563,429,311,211,19298,1175,1316,1210,723,482,249,236,651,1253,1153,1281,1356,1284,1289,1044,327,557,364,529,834,781,597,607
0500000US01019,01019,Cherokee County,23988,11794,750,802,803,421,282,141,124,359,800,822,842,892,834,873,725,297,415,267,343,442,275,170,115,12194,683,714,699,448,265,133,123,407,747,777,844,899,832,887,834,282,414,280,379,554,410,304,279
0500000US01021,01021,Chilton County,39593,19581,1450,1507,1472,898,534,272,217,773,1394,1351,1521,1523,1359,1272,1045,371,513,310,418,584,418,228,151,20012,1284,1331,1424,799,479,250,267,807,1362,1376,1456,1499,1352,1272,1121,386,559,345,526,686,591,435,405
0500000US01023,01023,Choctaw County,15922,7489,548,549,590,379,195,70,95,231,443,427,529,561,519,520,490,178,239,124,169,239,191,92,111,8433,555,525,613,389,198,111,88,268,520,513,587,588,589,583,488,174,238,147,232,351,285,178,213
0500000US01025,01025,Clarke County,27867,13180,1020,1110,1142,714,391,162,140,428,766,822,963,1022,882,820,701,255,363,206,296,402,252,189,134,14687,1060,1083,1049,633,424,172,156,494,973,968,1085,1069,928,845,781,298,384,246,369,517,430,368,355
0500000US01027,01027,Clay County,14254,6952,472,467,486,350,189,81,89,230,454,468,524,505,478,463,381,144,213,118,189,252,180,110,109,7302,405,454,493,270,168,83,75,232,444,446,525,535,463,483,420,169,236,139,197,324,266,233,242
0500000US01029,01029,Cleburne County,14123,7037,477,488,537,289,205,83,90,228,478,491,570,514,534,477,429,172,166,118,187,197,152,95,60,7086,390,509,445,300,172,78,80,221,440,514,536,482,492,506,423,155,219,143,180,281,192,188,140
0500000US01031,01031,Coffee County,43615,21303,1385,1518,1667,1011,568,269,257,903,1557,1358,1648,1575,1492,1501,1127,360,596,352,518,676,513,270,182,22312,1333,1429,1517,946,590,229,221,833,1340,1412,1595,1759,1603,1496,1234,465,650,368,597,853,787,475,580
0500000US01033,01033,Colbert County,54984,26311,1726,1880,1924,1158,691,320,290,877,1669,1767,1973,2070,1869,1824,1486,560,760,481,657,946,686,438,259,28673,1632,1848,1811,1098,698,336,316,930,1721,1828,2081,2162,2020,1946,1747,582,891,514,755,1219,1091,750,697
0500000US01035,01035,Conecuh County,14089,6667,448,560,534,350,185,84,85,197,396,383,455,475,439,480,385,124,189,97,169,282,176,93,81,7422,427,513,510,306,181,96,84,253,412,459,524,529,556,497,406,142,202,134,202,318,267,192,212
0500000US01037,01037,Coosa County,12202,6232,375,438,464,243,165,88,73,244,409,479,526,486,480,376,336,113,164,103,149,212,175,70,64,5970,384,359,381,247,166,76,57,178,375,385,427,457,410,423,340,129,188,108,175,261,178,137,129
0500000US01039,01039,Covington County,37631,17992,1141,1262,1317,805,486,257,189,554,1068,1139,1319,1393,1250,1218,993,405,519,361,524,685,552,332,223,19639,1082,1200,1276,777,503,229,222,603,1033,1126,1315,1443,1315,1277,1102,411,662,437,571,901,823,671,660
0500000US01041,01041,Crenshaw County,13665,6464,414,507,534,322,170,64,85,216,401,345,462,501,443,443,383,96,163,133,157,236,195,104,90,7201,389,464,451,291,170,86,80,215,447,430,524,488,499,505,353,155,231,119,206,315,325,237,221
0500000US01043,01043,Cullman County,77483,38214,2564,2666,2764,1746,1092,539,474,1399,2596,2688,3007,2922,2674,2534,2061,784,1039,656,872,1305,925,552,355,39269,2379,2500,2579,1592,1017,487,459,1364,2502,2511,2837,2899,2663,2621,2211,840,1131,729,1014,1632,1419,953,930
0500000US01045,01045,Dale County,49129,24356,1875,1985,1827,1088,741,357,300,981,2074,1736,1914,1871,1575,1519,1140,399,548,383,476,674,488,256,149,24773,1811,1709,1686,1066,725,317,289,991,1758,1780,1876,1872,1625,1469,1256,487,675,382,578,824,656,439,502
0500000US01047,01047,Dallas County,46365,21092,1693,1784,1914,1215,772,306,268,731,1181,1149,1438,1593,1451,1313,1004,388,525,318,427,662,459,314,187,25273,1722,1795,1922,1208,769,326,305,903,1561,1491,1818,1924,1688,1482,1177,461,660,399,628,988,847,592,607
0500000US01049,01049,DeKalb County,64452,31508,2224,2391,2221,1347,923,454,394,1281,2364,2319,2378,2438,2133,2108,1660,550,773,505,712,984,679,400,270,32944,2155,2197,2048,1316,841,439,394,1202,2180,2250,2403,2441,2177,2192,1760,618,999,576,822,1242,1070,809,813
0500000US01051,01051,Elmore County,65874,33342,2220,2464,2524,1503,912,481,454,1445,2565,2537,2993,2754,2418,2211,1614,538,794,443,586,761,575,347,203,32532,2150,2337,2358,1368,760,347,352,1037,2351,2463,2792,2674,2388,2137,1534,548,780,462,654,973,832,589,646
0500000US01053,01053,Escambia County,38440,19475,1187,1372,1353,785,619,284,312,878,1475,1410,1545,1684,1394,1253,971,378,520,278,409,544,383,246,195,18965,1203,1290,1261,819,527,222,219,656,1202,1099,1307,1378,1340,1214,1109,395,543,321,501,740,671,473,475
0500000US01055,01055,Etowah County,103459,49506,3382,3460,3575,2231,1419,696,621,1792,3297,3371,3453,3746,3582,3564,2623,920,1301,829,1117,1844,1417,787,479,53953,3229,3245,3355,2177,1316,657,623,1864,3417,3393,3653,3981,3793,3643,2896,1100,1524,983,1517,2483,2184,1627,1293
0500000US01057,01057,Fayette County,18495,8935,577,622,644,443,276,122,105,286,558,562,651,644,666,620,542,204,273,161,209,318,218,124,110,9560,536,579,616,407,224,93,103,307,584,570,659,677,669,641,551,202,306,166,271,417,373,286,323
0500000US01059,01059,Franklin County,31223,15329,999,1109,1151,719,433,220,231,649,1155,1065,1156,1084,1007,952,806,279,453,295,364,490,381,185,146,15894,984,1071,1005,607,419,189,178,569,1040,1023,1127,1101,1099,1000,873,338,495,310,451,659,544,418,394
0500000US01061,01061,Geneva County,25764,12529,738,894,1021,599,333,159,133,396,745,815,935,908,887,863,763,256,384,228,331,460,337,217,127,13235,699,774,907,551,290,130,117,382,766,847,930,971,916,895,799,321,437,245,360,615,481,376,426
0500000US01063,01063,Greene County,9974,4681,406,439,437,281,165,63,58,135,223,230,279,341,374,247,219,81,109,79,94,174,120,59,68,5293,364,391,340,253,174,54,55,182,309,306,380,431,388,316,245,105,124,77,131,226,146,113,183
0500000US01065,01065,Hale County,17185,8110,699,707,757,438,264,118,88,284,480,441,593,575,567,507,385,124,161,111,180,242,179,125,85,9075,709,669,696,412,269,127,102,314,563,585,676,678,589,502,408,163,219,133,185,339,277,206,254
0500000US01067,01067,Henry County,16310,7754,541,518,561,400,220,96,100,264,460,526,496,565,580,577,446,139,231,126,164,324,195,128,97,8556,478,547,545,335,225,121,83,264,488,511,549,595,651,613,508,140,269,155,242,379,320,260,278
0500000US01069,01069,Houston County,88787,42170,3085,3217,3419,1986,1106,531,488,1453,2708,2792,3329,3356,3050,2848,2253,683,1079,652,925,1331,928,565,386,46617,2952,3096,3242,1989,1059,554,469,1647,3048,3148,3564,3565,3405,2981,2466,851,1206,781,1106,1779,1514,1092,1103
0500000US01071,01071,Jackson County,53926,26281,1745,1855,1880,1208,668,355,290,917,1837,1874,1938,2056,1885,1845,1575,597,775,468,610,831,541,319,212,27645,1642,1789,1775,1142,668,314,312,967,1840,1853,2034,2054,2016,1929,1654,561,866,555,691,1031,831,583,538
0500000US01073,01073,Jefferson County,662047,312089,22154,23482,24172,14232,8794,4440,4332,13017,23050,22130,24033,25060,23591,19849,14276,4795,6419,4028,5931,9510,7456,4435,2903,349958,21127,22327,22894,13852,9197,4649,4634,14508,24349,23336,26559,28021,26282,21747,16331,5787,8336,5329,8052,13862,11915,8242,8622
0500000US01075,01075,Lamar County,15904,7680,457,474,603,360,232,108,92,277,502,515,581,608,521,515,416,156,252,165,181,278,151,127,109,8224,469,543,498,346,210,100,89,272,513,522,587,583,517,558,456,187,257,163,225,350,308,234,237
0500000US01077,01077,Lauderdale County,87966,42081,2662,2811,3043,1838,1308,630,676,1725,2749,2890,3104,3178,3080,2733,2365,801,1148,755,968,1478,1105,619,415,45885,2555,2806,2867,1685,1383,769,700,1711,2894,2891,3359,3461,3192,3014,2457,917,1323,823,1234,1897,1657,1235,1055
0500000US01079,01079,Lawrence County,34803,17066,1134,1323,1378,813,487,199,217,595,1102,1347,1435,1252,1182,1151,956,355,430,240,372,477,320,187,114,17737,1067,1233,1250,742,428,215,182,601,1174,1348,1481,1354,1198,1157,1025,338,459,289,413,596,502,357,328
0500000US01081,01081,Lee County,115092,56630,3583,3889,3908,2180,3491,2391,2321,5046,4595,3868,3913,3722,3262,2971,2157,682,924,603,790,986,693,409,246,58462,3612,3766,3695,2169,3927,2426,2320,4211,4329,3853,4093,3944,3501,2945,2254,757,1050,652,917,1373,1100,789,779
0500000US01083,01083,Limestone County,65676,33334,2249,2346,2419,1428,822,443,472,1360,2437,2764,3105,2913,2363,2157,1710,579,777,505,641,772,586,300,186,32342,2100,2292,2209,1298,763,383,344,1200,2109,2478,2721,2548,2303,2215,1665,598,835,495,711,1055,859,607,554
0500000US01085,01085,Lowndes County,13473,6302,460,532,654,394,216,85,77,197,354,368,456,474,437,345,280,117,161,114,114,184,135,75,73,7171,544,515,616,353,220,104,93,235,408,490,566,532,466,409,353,115,201,115,167,228,176,118,147
0500000US01087,01087,Macon County,24105,11075,784,889,869,508,640,288,287,607,639,536,619,734,709,664,527,176,237,162,221,324,312,200,143,13030,781,825,932,493,797,427,391,625,787,679,736,793,876,745,627,202,309,191,253,487,450,312,312
0500000US01089,01089,Madison County,276700,135019,9587,10397,10435,5860,4253,1856,1785,5029,8795,9761,12300,11971,9731,8438,6558,2340,3271,2000,2754,3393,2404,1368,733,141681,9213,9797,9863,5635,4098,1979,1855,5121,9265,10308,12848,11930,10044,9003,7177,2580,3602,2364,3019,4275,3479,2248,1978
0500000US01091,01091,Marengo County,22539,10569,774,945,1020,561,307,128,132,323,592,574,724,765,737,665,562,186,290,186,224,355,244,157,118,11970,750,907,882,583,305,135,115,368,705,749,858,889,803,744,596,246,332,224,305,474,383,287,330
0500000US01093,01093,Marion County,31214,15451,1017,980,1052,611,415,195,179,531,1088,1079,1255,1136,1093,1079,952,343,480,281,361,537,381,227,179,15763,859,923,1008,588,390,192,150,517,965,1024,1097,1152,998,1073,971,347,541,310,427,720,580,471,460
0500000US01095,01095,Marshall County,82231,40011,2796,3065,2857,1773,1098,558,471,1428,2838,2847,3171,3113,2677,2505,2197,767,1113,668,970,1342,872,535,350,42220,2707,2803,2742,1694,1001,500,493,1430,2793,2792,3185,3097,2855,2679,2394,896,1179,829,1125,1683,1392,1034,917
0500000US01097,01097,Mobile County,399843,191044,15091,15913,15710,9326,5925,2732,2634,7892,12992,12575,14357,15084,13435,11925,9000,3043,4341,2528,3572,5205,4001,2274,1489,208799,14243,15262,15219,9117,6136,2981,3037,8656,13894,13795,15665,16251,14235,12875,10165,3564,4854,2971,4409,7350,6218,4075,3827
0500000US01099,01099,Monroe County,24324,11576,912,993,949,638,359,167,109,381,687,739,815,859,799,730,594,208,286,177,259,363,264,159,129,12748,915,928,956,592,353,154,153,414,802,802,891,918,922,739,642,250,305,184,329,449,388,318,344
0500000US01101,01101,Montgomery County,223510,106359,7837,8179,8450,4889,3933,2303,1884,5141,8290,7459,8353,7951,7078,6477,4607,1523,2053,1325,1984,2633,1999,1238,773,117151,7635,8136,7848,4672,3763,2009,1877,5351,8712,7962,8877,8983,8250,6995,5278,1831,2617,1686,2450,3817,3532,2401,2469
0500000US01103,01103,Morgan County,111064,54451,3697,4099,4132,2458,1486,693,645,1952,3702,3902,4660,4547,4055,3681,2960,946,1323,824,1086,1516,1077,644,366,56613,3620,3893,3987,2258,1297,649,622,2028,3526,4016,4593,4460,4094,3856,3012,1050,1457,903,1370,2040,1609,1236,1037
0500000US01105,01105,Perry County,11861,5410,440,479,464,369,244,90,76,193,255,287,329,374,301,304,250,99,159,101,139,180,108,80,89,6451,463,503,524,295,257,108,92,255,419,325,418,390,379,338,313,109,198,103,142,256,203,167,194
0500000US01107,01107,Pickens County,20949,9809,744,768,832,538,291,154,95,317,532,581,673,744,709,592,472,183,278,176,246,379,237,150,118,11140,677,795,828,529,310,139,108,363,622,704,765,775,718,669,582,230,339,203,338,467,364,289,326
0500000US01109,01109,Pike County,29605,13985,949,1030,1081,644,628,345,341,819,973,863,923,961,858,815,707,230,358,191,266,404,310,161,128,15620,974,906,1009,618,791,502,482,778,995,932,994,1052,945,933,763,265,414,222,358,465,505,376,341
0500000US01111,01111,Randolph County,22380,10810,741,808,826,494,345,141,116,383,695,679,750,857,746,713,562,240,302,197,247,393,272,176,127,11570,739,819,742,451,326,135,132,373,674,734,830,769,775,724,625,216,354,228,325,511,437,310,341
0500000US01113,01113,Russell County,49756,23704,1761,1981,1920,1149,675,295,294,947,1681,1633,1812,1803,1646,1405,1143,408,607,354,529,722,495,289,155,26052,1754,1796,1771,1062,645,359,355,980,1807,1678,1948,1963,1760,1626,1361,493,697,442,685,1001,799,555,515
0500000US01115,01115,St. Clair County,64742,32652,2244,2372,2583,1433,816,404,367,1120,2319,2456,2791,2689,2397,2217,1822,637,792,501,685,905,635,296,171,32090,2008,2186,2272,1319,697,315,338,1071,2152,2341,2622,2535,2302,2214,1866,603,864,567,753,1105,831,616,513
0500000US01117,01117,Shelby County,143293,70257,5473,5507,5354,3116,1708,804,747,2393,5238,5910,6126,6261,5507,5018,3462,1106,1330,846,1065,1549,958,488,291,73036,5245,5109,5044,2772,1736,840,860,2666,5585,5894,6646,6564,5908,5062,3576,1112,1435,880,1229,1773,1458,883,759
0500000US01119,01119,Sumter County,14798,6795,543,663,605,380,252,126,129,326,427,372,420,454,451,361,281,96,159,89,114,197,142,95,113,8003,523,570,643,378,271,164,182,351,496,463,487,630,524,384,311,134,186,117,172,296,268,205,248
