GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
0500000US01001,01001,"Autauga County, Alabama",1310,694,88,68,66,31,29,16,7,42,66,61,56,51,34,24,20,6,3,5,7,6,3,4,1,616,62,74,64,29,22,7,7,28,44,62,45,39,47,21,13,7,8,8,9,9,7,2,2
0500000US01003,01003,"Baldwin County, Alabama",7992,4425,549,402,333,185,141,91,88,344,524,458,338,277,207,179,104,37,59,24,21,26,14,11,13,3567,498,384,304,151,112,53,61,201,345,327,263,205,195,149,91,32,44,25,32,30,27,25,13
0500000US01005,01005,"Barbour County, Alabama",1387,777,97,61,31,26,39,13,23,78,130,98,57,39,32,20,15,4,4,2,3,3,0,1,1,610,125,68,29,25,13,14,17,51,83,51,44,28,22,12,8,2,4,0,3,3,3,2,3
0500000US01007,01007,"Bibb County, Alabama",406,298,11,20,13,11,10,6,8,20,55,43,25,21,17,14,7,5,4,1,2,1,1,2,1,108,15,12,11,3,1,1,0,5,8,8,7,12,12,3,2,0,2,1,0,2,1,1,1
0500000US01009,01009,"Blount County, Alabama",4626,2569,318,273,230,145,97,50,50,148,301,258,198,146,108,93,58,14,19,13,10,18,7,8,7,2057,302,278,229,127,66,28,32,90,184,189,159,115,89,71,30,14,10,11,16,9,5,0,3
0500000US01011,01011,"Bullock County, Alabama",777,439,74,38,26,13,15,10,11,56,86,39,31,6,5,8,6,0,3,3,4,2,3,0,0,338,65,49,15,12,8,9,8,29,67,36,8,5,5,10,4,1,0,3,0,1,2,1,0
0500000US01013,01013,"Butler County, Alabama",191,106,14,10,4,6,5,0,1,10,12,9,3,6,6,9,2,2,0,4,0,1,2,0,0,85,11,9,6,1,2,1,1,8,8,4,6,4,8,5,3,1,0,2,0,1,2,2,0
0500000US01015,01015,"Calhoun County, Alabama",3893,2122,276,208,164,109,80,40,39,141,263,214,154,112,107,72,51,22,17,12,7,14,8,8,4,1771,249,185,154,75,50,38,38,135,170,167,109,93,77,70,63,10,17,9,9,21,16,12,4
0500000US01017,01017,"Chambers County, Alabama",536,331,34,32,24,6,16,7,7,28,44,29,28,13,10,21,10,4,3,6,1,3,3,1,1,205,26,27,12,11,3,5,4,7,17,18,18,11,8,9,4,3,3,6,2,5,3,1,2
0500000US01019,01019,"Cherokee County, Alabama",320,157,24,14,13,15,7,0,4,12,9,6,11,12,8,5,5,0,2,1,2,5,0,1,1,163,22,29,24,8,5,5,1,5,14,6,14,9,2,6,2,1,1,2,2,2,2,0,1
0500000US01021,01021,"Chilton County, Alabama",3420,1976,247,211,164,90,48,27,32,138,213,244,186,149,86,49,38,14,15,4,2,6,6,4,3,1444,240,182,134,54,45,15,12,80,157,172,129,88,47,35,21,3,9,2,6,7,2,4,0
0500000US01023,01023,"Choctaw County, Alabama",73,40,3,3,3,2,2,0,1,4,2,1,1,3,1,3,0,2,0,4,2,2,0,0,1,33,3,2,1,1,0,0,0,1,1,2,5,2,2,0,3,1,5,2,1,1,0,0,0
0500000US01025,01025,"Clarke County, Alabama",271,140,18,11,15,7,6,4,1,8,10,11,6,10,6,7,10,3,0,0,1,5,1,0,0,131,8,14,10,5,6,2,0,5,11,11,9,10,9,9,6,4,0,0,2,4,2,3,1
0500000US01027,01027,"Clay County, Alabama",399,242,33,22,17,10,9,1,3,16,28,21,23,21,13,8,5,3,2,1,3,2,0,0,1,157,19,11,15,11,7,0,3,12,8,20,14,6,10,7,7,1,1,1,1,0,1,2,0
0500000US01029,01029,"Cleburne County, Alabama",307,197,27,14,14,14,6,4,3,12,20,15,24,10,10,9,4,3,2,1,0,3,1,1,0,110,16,15,12,10,1,2,1,5,6,6,10,6,7,2,3,1,0,1,0,1,4,0,1
0500000US01031,01031,"Coffee County, Alabama",3180,1853,263,190,143,63,51,34,31,133,302,210,110,88,61,59,48,14,9,7,6,8,13,5,5,1327,198,142,112,62,33,22,20,85,157,136,99,69,45,45,41,7,14,4,4,11,9,6,6
0500000US01033,01033,"Colbert County, Alabama",1093,609,84,69,62,26,16,12,17,39,61,54,55,36,23,19,13,6,2,1,3,4,2,3,2,484,79,62,44,24,9,5,4,23,41,55,34,28,22,18,13,0,3,1,5,6,2,4,2
0500000US01035,01035,"Conecuh County, Alabama",161,101,12,5,10,4,5,2,7,7,14,12,7,3,4,5,1,0,0,1,0,2,0,0,0,60,4,6,5,2,4,1,1,5,5,7,4,2,4,2,1,2,2,0,0,3,0,0,0
0500000US01037,01037,"Coosa County, Alabama",230,140,17,11,7,1,0,1,0,9,18,19,19,11,8,6,2,4,0,2,0,4,0,0,1,90,19,11,0,0,2,0,0,6,9,7,10,5,6,2,4,1,3,0,2,1,2,0,0
0500000US01039,01039,"Covington County, Alabama",483,252,21,31,18,7,4,8,1,13,22,19,21,19,11,17,9,3,3,5,2,8,5,3,2,231,28,18,23,12,9,3,4,7,13,11,14,16,16,10,11,5,4,3,8,7,3,3,3
0500000US01041,01041,"Crenshaw County, Alabama",204,121,8,5,7,4,5,4,5,8,22,7,13,8,5,5,3,2,3,1,1,2,1,2,0,83,11,6,9,5,6,2,0,2,8,5,3,4,2,3,5,1,2,2,2,2,1,1,1
0500000US01043,01043,"Cullman County, Alabama",3454,1933,260,207,151,96,68,36,25,133,272,210,139,110,76,64,35,7,8,4,6,11,9,4,2,1521,247,196,150,68,59,31,29,71,145,140,117,67,71,41,22,14,8,4,13,12,8,5,3
0500000US01045,01045,"Dale County, Alabama",2821,1546,222,155,125,60,52,25,33,123,198,154,110,79,62,44,47,6,13,5,9,10,8,4,2,1275,186,161,103,53,39,21,20,65,128,115,104,63,62,36,29,15,13,9,14,12,12,9,6
0500000US01047,01047,"Dallas County, Alabama",309,179,25,14,14,7,11,4,2,11,16,18,10,7,9,5,11,2,4,3,2,1,2,0,1,130,12,12,7,9,5,2,3,6,8,7,5,6,7,13,12,4,1,3,1,3,1,3,0
0500000US01049,01049,"DeKalb County, Alabama",9690,5082,808,648,504,229,167,92,95,268,555,540,415,299,193,113,58,22,15,6,17,15,14,4,5,4608,787,687,516,225,173,69,73,234,443,459,349,243,140,66,64,23,9,13,8,14,4,6,3
0500000US01051,01051,"Elmore County, Alabama",2129,1067,113,112,85,50,36,26,11,77,134,89,85,74,56,42,27,6,10,4,7,11,4,5,3,1062,118,107,82,40,31,11,14,50,114,152,86,68,69,43,22,14,9,2,3,6,11,7,3
0500000US01053,01053,"Escambia County, Alabama",718,443,47,34,19,17,21,6,15,42,58,43,33,22,26,25,9,5,7,1,1,5,3,3,1,275,33,31,27,17,8,5,4,19,18,21,20,17,14,10,9,5,1,3,3,4,4,1,1
0500000US01055,01055,"Etowah County, Alabama",3447,1923,254,232,185,97,76,46,40,118,221,179,115,104,98,62,41,10,11,4,9,8,7,4,2,1524,238,190,154,86,52,20,33,100,142,125,92,87,74,42,19,10,11,12,9,7,12,5,4
0500000US01057,01057,"Fayette County, Alabama",204,107,21,6,5,4,2,4,0,3,12,10,7,8,7,6,5,3,1,1,0,1,0,0,1,97,12,8,11,6,7,5,1,3,7,9,4,6,5,4,4,0,2,0,2,0,1,0,0
0500000US01059,01059,"Franklin County, Alabama",4710,2690,377,285,219,112,82,79,48,194,316,308,236,145,122,63,37,15,10,9,8,12,11,1,1,2020,351,265,203,99,65,26,30,99,225,210,174,95,55,44,31,7,12,5,7,13,2,0,2
0500000US01061,01061,"Geneva County, Alabama",920,514,55,61,57,30,16,13,15,42,35,38,34,27,22,20,15,2,9,3,1,10,4,4,1,406,59,57,51,20,6,9,5,23,32,25,29,20,13,19,14,6,7,2,1,4,2,2,0
0500000US01063,01063,"Greene County, Alabama",69,30,3,3,3,3,0,0,1,1,5,1,1,1,5,1,0,1,0,1,0,0,0,0,0,39,4,8,2,2,2,0,0,2,2,1,1,5,3,1,1,0,1,0,0,1,1,0,2
0500000US01065,01065,"Hale County, Alabama",140,79,6,10,7,5,4,2,1,5,9,3,6,5,3,6,1,1,1,1,0,2,0,1,0,61,8,6,7,1,4,2,1,0,3,10,1,3,2,3,1,0,1,2,3,1,0,1,1
0500000US01067,01067,"Henry County, Alabama",389,210,26,20,19,9,8,7,2,16,20,21,16,15,12,2,5,1,1,0,4,2,4,0,0,179,31,17,18,15,5,4,3,9,15,12,10,8,7,10,2,2,2,1,1,1,2,0,4
0500000US01069,01069,"Houston County, Alabama",2995,1624,203,153,124,59,51,37,22,117,213,155,121,94,86,49,57,6,16,13,17,9,7,8,7,1371,203,142,107,59,32,22,16,78,167,108,93,73,70,63,35,16,9,11,10,25,12,11,9
0500000US01071,01071,"Jackson County, Alabama",1339,737,87,85,70,47,32,18,12,44,78,63,65,45,24,31,10,3,7,4,4,2,1,4,1,602,96,80,75,28,23,5,6,21,49,48,58,29,20,17,16,3,9,0,2,10,5,1,1
0500000US01073,01073,"Jefferson County, Alabama",25488,14659,1697,1252,909,562,440,313,353,1360,2143,1744,1277,871,626,429,283,62,78,53,58,47,43,38,21,10829,1616,1164,796,402,341,186,204,780,1347,1145,864,541,440,328,198,73,90,38,61,73,61,43,38
0500000US01075,01075,"Lamar County, Alabama",180,107,13,7,13,7,2,6,1,7,5,7,7,7,9,4,2,0,1,1,2,4,1,0,1,73,5,9,6,4,4,1,2,5,5,1,8,6,3,3,3,0,1,1,0,3,0,2,1
0500000US01077,01077,"Lauderdale County, Alabama",2082,1105,137,129,95,60,40,31,26,62,104,93,91,62,41,41,35,8,7,4,11,13,7,6,2,977,153,106,85,55,49,25,18,48,77,76,76,52,34,28,28,4,17,6,6,16,10,4,4
0500000US01079,01079,"Lawrence County, Alabama",574,297,42,46,34,10,10,2,7,13,23,25,26,15,17,12,5,2,2,1,2,1,2,0,0,277,35,39,32,29,12,3,2,12,19,20,18,14,15,8,6,0,3,1,2,1,3,2,1
0500000US01081,01081,"Lee County, Alabama",4571,2602,239,227,149,95,135,87,107,269,318,259,194,158,119,96,52,12,21,10,21,14,10,8,2,1969,268,168,162,81,118,58,71,160,200,171,140,105,74,71,45,9,22,5,7,20,3,6,5
0500000US01083,01083,"Limestone County, Alabama",4591,2529,328,272,245,112,86,44,49,188,298,270,206,137,107,72,56,12,14,6,7,10,5,5,0,2062,332,273,205,116,70,36,28,127,209,177,155,118,74,55,28,8,13,6,11,10,7,1,3
0500000US01085,01085,"Lowndes County, Alabama",87,41,5,6,5,2,2,0,0,3,3,2,2,3,2,1,3,0,1,0,1,0,0,0,0,46,1,5,4,4,2,1,0,2,2,5,1,4,3,3,2,1,2,0,1,1,1,0,1
0500000US01087,01087,"Macon County, Alabama",232,129,6,5,4,7,13,7,5,12,14,10,7,6,3,5,8,1,2,0,1,3,3,4,3,103,9,7,2,7,10,4,4,8,13,2,5,7,4,5,5,3,1,0,2,0,2,1,2
0500000US01089,01089,"Madison County, Alabama",15404,8556,1008,747,620,367,361,191,187,739,1054,872,609,511,393,328,231,59,80,46,46,38,33,20,16,6848,968,635,560,323,267,137,117,452,712,587,506,351,376,308,191,53,76,37,41,64,39,26,22
0500000US01091,01091,"Marengo County, Alabama",352,173,19,14,11,5,3,4,3,16,26,13,14,8,8,7,9,0,4,3,2,1,1,1,1,179,26,17,18,5,5,3,3,7,18,20,15,8,5,8,1,4,2,2,1,4,2,3,2
0500000US01093,01093,"Marion County, Alabama",632,344,42,45,39,12,6,4,4,7,40,38,30,18,18,11,9,2,5,2,6,4,0,1,1,288,39,40,41,14,8,1,5,16,19,28,18,11,13,13,8,1,2,3,3,0,4,1,0
0500000US01095,01095,"Marshall County, Alabama",11238,6204,940,689,501,263,225,124,125,506,847,615,466,333,214,120,105,33,28,18,19,15,10,4,4,5034,930,666,444,213,162,67,81,337,604,449,384,216,165,111,75,21,24,19,13,18,15,11,9
0500000US01097,01097,"Mobile County, Alabama",9936,5508,515,454,341,223,206,108,117,405,559,577,463,376,320,278,181,68,85,54,42,57,43,21,15,4428,512,421,345,192,141,82,75,251,384,356,314,293,254,224,145,58,59,47,48,87,60,34,46
0500000US01099,01099,"Monroe County, Alabama",220,111,17,11,11,4,5,0,4,5,9,6,7,7,4,6,4,1,4,0,0,1,5,0,0,109,12,9,11,5,3,0,0,2,6,7,7,8,5,5,6,2,3,3,4,6,4,1,0
0500000US01101,01101,"Montgomery County, Alabama",8314,4720,619,402,268,144,174,126,118,468,711,504,348,295,200,125,73,33,24,17,18,23,13,10,7,3594,576,430,225,159,115,66,85,265,419,352,267,155,128,127,77,23,27,14,21,18,21,12,12
0500000US01103,01103,"Morgan County, Alabama",9156,5152,690,556,403,210,188,99,105,356,678,583,434,295,209,115,96,25,27,11,19,25,18,7,3,4004,642,513,373,178,148,67,67,232,452,411,289,194,139,99,84,26,15,6,17,25,10,9,8
0500000US01105,01105,"Perry County, Alabama",114,59,5,4,3,1,19,4,3,3,2,1,0,2,3,4,1,1,1,0,0,1,0,1,0,55,10,3,2,0,6,6,0,0,4,2,4,1,1,7,2,1,0,0,2,1,3,0,0
0500000US01107,01107,"Pickens County, Alabama",313,191,16,9,7,5,5,4,5,25,36,22,12,11,17,5,6,3,0,1,1,0,1,0,0,122,13,10,5,6,3,3,2,5,15,13,6,6,10,6,8,2,4,0,0,3,1,0,1
0500000US01109,01109,"Pike County, Alabama",730,403,46,35,35,12,22,8,18,45,64,38,25,20,11,8,6,2,2,1,1,1,2,1,0,327,45,37,29,16,15,13,8,19,42,34,14,16,8,4,7,0,5,3,2,1,5,1,3
0500000US01111,01111,"Randolph County, Alabama",649,360,47,40,24,29,17,7,2,28,39,33,29,16,13,14,11,3,2,1,1,2,1,0,1,289,43,32,50,12,7,5,5,14,27,26,13,20,5,8,4,0,5,1,3,5,2,2,0
0500000US01113,01113,"Russell County, Alabama",1946,1034,171,95,68,47,22,15,23,59,129,119,67,48,47,40,31,12,9,8,4,10,7,1,2,912,131,97,106,36,28,16,10,60,100,74,55,44,33,41,29,9,9,6,9,6,5,6,2
0500000US01115,01115,"St. Clair County, Alabama",1716,922,109,105,89,25,36,11,15,58,92,104,92,52,41,30,23,8,5,7,7,6,3,3,1,794,117,99,70,49,17,5,9,33,81,64,63,43,37,31,19,9,11,11,7,10,3,3,3
0500000US01117,01117,"Shelby County, Alabama",11567,6393,741,643,518,266,179,97,143,475,821,727,577,436,299,181,112,28,42,17,21,28,19,11,12,5174,719,603,483,258,118,67,69,282,549,567,459,323,235,152,97,43,30,16,15,31,23,16,19
0500000US01119,01119,"Sumter County, Alabama",86,52,5,4,1,0,1,2,2,9,2,0,5,1,3,6,5,0,1,0,0,2,2,1,0,34,0,4,0,0,3,4,2,2,2,1,0,4,2,3,0,0,1,0,0,1,4,1,0
0500000US01121,01121,"Talladega County, Alabama",1671,1069,89,72,50,34,17,24,14,81,119,167,105,78,78,51,40,11,11,7,3,6,5,4,3,602,97,65,49,21,16,7,15,26,72,46,40,36,30,22,14,2,5,2,6,16,4,4,7
0500000US01123,01123,"Tallapoosa County, Alabama",1042,621,63,57,37,21,18,20,13,54,94,74,59,40,20,10,18,3,3,1,6,6,1,2,1,421,74,34,19,16,20,5,4,28,60,42,40,26,21,4,6,6,2,2,2,7,1,1,1
0500000US01125,01125,"Tuscaloosa County, Alabama",5949,3438,364,224,178,149,212,135,128,366,480,322,249,195,159,100,87,20,14,7,13,14,12,6,4,2511,357,246,157,94,161,92,90,240,278,208,142,125,86,75,39,22,15,4,18,15,21,12,14
0500000US01127,01127,"Walker County, Alabama",1307,772,86,71,46,25,25,6,15,63,130,84,70,47,31,25,14,4,7,3,5,4,8,2,1,535,86,55,44,22,14,16,5,33,48,46,34,28,25,15,16,5,6,2,10,13,7,3,2
0500000US01129,01129,"Washington County, Alabama",151,86,2,6,9,4,4,1,2,1,6,8,8,5,6,6,2,2,0,3,2,2,3,4,0,65,6,3,7,6,2,0,0,1,2,2,5,2,4,4,5,0,0,4,1,4,3,1,3
0500000US01131,01131,"Wilcox County, Alabama",72,38,4,2,5,2,2,1,0,1,5,1,1,3,4,0,4,0,0,1,1,0,1,0,0,34,1,2,3,0,0,0,0,1,3,0,3,3,3,3,5,0,2,2,0,2,0,0,1
0500000US01133,01133,"Winston County, Alabama",639,355,40,50,28,7,12,9,6,19,37,52,24,23,12,11,10,5,0,0,1,1,6,1,1,284,47,39,39,13,9,4,4,16,23,23,19,8,13,7,8,3,3,0,0,3,2,1,0
0500000US02013,02013,"Aleutians East Borough, Alaska",385,311,2,7,3,1,0,4,2,15,25,17,23,57,66,36,33,6,8,1,3,1,1,0,0,74,4,4,1,2,0,2,0,1,4,3,3,11,19,6,11,1,1,0,0,1,0,0,0
0500000US02016,02016,"Aleutians West Census Area, Alaska",726,545,13,10,11,12,7,4,7,24,51,42,43,95,62,78,37,23,10,7,5,4,0,0,0,181,14,14,15,10,3,0,1,4,10,8,17,21,28,18,9,2,5,2,0,0,0,0,0
0500000US02020,02020,"Anchorage Municipality, Alaska",22061,10982,1312,1196,1055,659,400,281,226,693,1013,792,709,615,573,513,385,109,123,78,74,84,55,25,12,11079,1350,1130,1111,582,403,205,212,638,1015,836,741,660,644,497,356,115,161,76,88,118,65,34,42
0500000US02050,02050,"Bethel Census Area, Alaska",181,95,16,11,6,4,7,4,1,2,9,7,6,4,3,6,4,1,2,1,0,0,1,0,0,86,12,7,10,7,3,3,0,4,8,5,7,5,6,4,4,0,0,0,0,0,1,0,0
0500000US02060,02060,"Bristol Bay Borough, Alaska",24,17,3,0,3,0,1,0,0,2,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0500000US02068,02068,"Denali Borough, Alaska",42,21,2,2,1,2,0,0,0,2,0,2,1,1,1,1,1,1,0,0,2,1,1,0,0,21,1,1,2,1,0,0,0,0,0,4,2,1,4,2,1,0,1,1,0,0,0,0,0
0500000US02070,02070,"Dillingham Census Area, Alaska",101,55,10,7,6,3,2,0,0,3,5,2,2,1,6,3,3,1,0,1,0,0,0,0,0,46,4,9,4,1,1,0,0,1,4,5,1,2,1,7,1,4,1,0,0,0,0,0,0
