Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,P12HD001,P12HD002,P12HD003,P12HD004,P12HD005,P12HD006,P12HD007,P12HD008,P12HD009,P12HD010,P12HD011,P12HD012,P12HD013,P12HD014,P12HD015,P12HD016,P12HD017,P12HD018,P12HD019,P12HD020,P12HD021,P12HD022,P12HD023,P12HD024,P12HD025,P12HD026,P12HD027,P12HD028,P12HD029,P12HD030,P12HD031,P12HD032,P12HD033,P12HD034,P12HD035,P12HD036,P12HD037,P12HD038,P12HD039,P12HD040,P12HD041,P12HD042,P12HD043,P12HD044,P12HD045,P12HD046,P12HD047,P12HD048,P12HD049
1,99003,"Baldwin County, Alabama",003,01,2010,7992,4425,549,402,333,185,141,91,88,344,524,458,338,277,207,179,104,37,59,24,21,26,14,11,13,3567,498,384,304,151,112,53,61,201,345,327,263,205,195,149,91,32,44,25,32,30,27,25,13
1,99005,"Barbour County, Alabama",005,01,2010,1387,777,97,61,31,26,39,13,23,78,130,98,57,39,32,20,15,4,4,2,3,3,0,1,1,610,125,68,29,25,13,14,17,51,83,51,44,28,22,12,8,2,4,0,3,3,3,2,3
1,99007,"Bibb County, Alabama",007,01,2010,406,298,11,20,13,11,10,6,8,20,55,43,25,21,17,14,7,5,4,1,2,1,1,2,1,108,15,12,11,3,1,1,0,5,8,8,7,12,12,3,2,0,2,1,0,2,1,1,1
1,99009,"Blount County, Alabama",009,01,2010,4626,2569,318,273,230,145,97,50,50,148,301,258,198,146,108,93,58,14,19,13,10,18,7,8,7,2057,302,278,229,127,66,28,32,90,184,189,159,115,89,71,30,14,10,11,16,9,5,0,3
1,99011,"Bullock County, Alabama",011,01,2010,777,439,74,38,26,13,15,10,11,56,86,39,31,6,5,8,6,0,3,3,4,2,3,0,0,338,65,49,15,12,8,9,8,29,67,36,8,5,5,10,4,1,0,3,0,1,2,1,0
1,99013,"Butler County, Alabama",013,01,2010,191,106,14,10,4,6,5,0,1,10,12,9,3,6,6,9,2,2,0,4,0,1,2,0,0,85,11,9,6,1,2,1,1,8,8,4,6,4,8,5,3,1,0,2,0,1,2,2,0
1,99015,"Calhoun County, Alabama",015,01,2010,3893,2122,276,208,164,109,80,40,39,141,263,214,154,112,107,72,51,22,17,12,7,14,8,8,4,1771,249,185,154,75,50,38,38,135,170,167,109,93,77,70,63,10,17,9,9,21,16,12,4
1,99017,"Chambers County, Alabama",017,01,2010,536,331,34,32,24,6,16,7,7,28,44,29,28,13,10,21,10,4,3,6,1,3,3,1,1,205,26,27,12,11,3,5,4,7,17,18,18,11,8,9,4,3,3,6,2,5,3,1,2
1,99019,"Cherokee County, Alabama",019,01,2010,320,157,24,14,13,15,7,0,4,12,9,6,11,12,8,5,5,0,2,1,2,5,0,1,1,163,22,29,24,8,5,5,1,5,14,6,14,9,2,6,2,1,1,2,2,2,2,0,1
1,99021,"Chilton County, Alabama",021,01,2010,3420,1976,247,211,164,90,48,27,32,138,213,244,186,149,86,49,38,14,15,4,2,6,6,4,3,1444,240,182,134,54,45,15,12,80,157,172,129,88,47,35,21,3,9,2,6,7,2,4,0
