Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
1,99001,Autauga County,1,1,2010,54571.0,42855.0,9643.0,1310.0,2781.0,21067.0,2731.0,21788.0,789.0,4534.0,732.0,5109.0,694.0,125.0,93.0,616.0,0.13200740494612426,0.12534422617954838
1,99003,Baldwin County,3,1,2010,182265.0,156153.0,17105.0,7992.0,8436.0,76274.0,8222.0,79879.0,1491.0,8309.0,1457.0,8796.0,4425.0,849.0,578.0,3567.0,0.11060125337598657,0.10293068265751949
1,99005,Barbour County,5,1,2010,27457.0,13180.0,12875.0,1387.0,743.0,7027.0,579.0,6153.0,1044.0,6778.0,853.0,6097.0,777.0,179.0,120.0,610.0,0.10573502205777714,0.09410043881033642
1,99007,Bibb County,7,1,2010,22915.0,17381.0,5047.0,406.0,1091.0,8934.0,1037.0,8447.0,480.0,3072.0,354.0,1975.0,298.0,55.0,10.0,108.0,0.12211775240653683,0.12276547886823724
1,99009,Blount County,9,1,2010,57322.0,53068.0,761.0,4626.0,3274.0,26149.0,3099.0,26919.0,69.0,385.0,38.0,376.0,2569.0,490.0,343.0,2057.0,0.12520555279360587,0.11512314721943609
1,99011,Bullock County,11,1,2010,10914.0,2507.0,7666.0,777.0,118.0,1554.0,70.0,953.0,548.0,3941.0,545.0,3725.0,439.0,105.0,66.0,338.0,0.07593307593307594,0.07345225603357818
1,99013,Butler County,13,1,2010,20947.0,11399.0,9095.0,191.0,587.0,5471.0,562.0,5928.0,659.0,4132.0,701.0,4963.0,106.0,22.0,13.0,85.0,0.10729299945165417,0.09480431848852902
1,99015,Calhoun County,15,1,2010,118572.0,88840.0,24382.0,3893.0,5983.0,43168.0,5766.0,45672.0,2387.0,11272.0,2635.0,13110.0,2122.0,409.0,336.0,1771.0,0.13859803558191253,0.1262480294272202
1,99017,Chambers County,17,1,2010,34215.0,20112.0,13257.0,536.0,1156.0,9815.0,1014.0,10297.0,935.0,6079.0,980.0,7178.0,331.0,64.0,30.0,205.0,0.11777890983188996,0.09847528406331942
1,99019,Cherokee County,19,1,2010,25989.0,24081.0,1208.0,320.0,1377.0,11907.0,1292.0,12174.0,97.0,618.0,54.0,590.0,157.0,38.0,24.0,163.0,0.11564625850340136,0.10612781337276163
1,99021,Chilton County,21,1,2010,43643.0,36713.0,4230.0,3420.0,2266.0,18018.0,2198.0,18695.0,355.0,2079.0,303.0,2151.0,1976.0,335.0,206.0,1444.0,0.12576312576312576,0.11757154319336721
1,99023,Choctaw County,23,1,2010,13859.0,7731.0,6012.0,73.0,367.0,3788.0,369.0,3943.0,433.0,2833.0,388.0,3179.0,40.0,9.0,2.0,33.0,0.09688489968321014,0.09358356581283286
1,99025,Clarke County,25,1,2010,25833.0,14070.0,11336.0,271.0,789.0,6851.0,686.0,7219.0,835.0,5152.0,880.0,6184.0,140.0,26.0,18.0,131.0,0.11516566924536564,0.09502701205153068
1,99027,Clay County,27,1,2010,13932.0,11380.0,2066.0,399.0,625.0,5562.0,659.0,5818.0,156.0,1007.0,147.0,1059.0,242.0,39.0,33.0,157.0,0.11236965120460266,0.11326916466139567
1,99029,Cleburne County,29,1,2010,14972.0,14079.0,498.0,307.0,880.0,6991.0,847.0,7088.0,35.0,238.0,35.0,260.0,197.0,39.0,19.0,110.0,0.12587612644829066,0.11949774266365688
1,99031,Coffee County,31,1,2010,49948.0,37330.0,8359.0,3180.0,2338.0,18500.0,2163.0,18830.0,613.0,3977.0,645.0,4382.0,1853.0,312.0,222.0,1327.0,0.12637837837837837,0.11486988847583643
1,99033,Colbert County,33,1,2010,54428.0,43789.0,8768.0,1093.0,2539.0,21170.0,2500.0,22619.0,610.0,4020.0,675.0,4748.0,609.0,110.0,65.0,484.0,0.11993386868209731,0.11052654847694417
1,99035,Conecuh County,35,1,2010,13228.0,6788.0,6149.0,161.0,378.0,3428.0,292.0,3360.0,448.0,2827.0,439.0,3322.0,101.0,25.0,13.0,60.0,0.1102683780630105,0.0869047619047619
1,99037,Coosa County,37,1,2010,11539.0,7648.0,3582.0,230.0,422.0,3827.0,394.0,3821.0,276.0,1736.0,214.0,1846.0,140.0,11.0,8.0,90.0,0.11026914031878757,0.10311436796650092
1,99039,Covington County,39,1,2010,37765.0,32022.0,4716.0,483.0,1822.0,15553.0,1762.0,16469.0,363.0,2207.0,370.0,2509.0,252.0,33.0,35.0,231.0,0.11714781714138751,0.10698888821422066
1,99041,Crenshaw County,41,1,2010,13906.0,10097.0,3254.0,204.0,613.0,4917.0,542.0,5180.0,257.0,1484.0,225.0,1770.0,121.0,26.0,15.0,83.0,0.1246695139312589,0.10463320463320464
1,99043,Cullman County,43,1,2010,80406.0,76133.0,856.0,3454.0,4821.0,37463.0,4663.0,38670.0,100.0,451.0,104.0,405.0,1933.0,358.0,258.0,1521.0,0.12868697114486294,0.12058443237651927
1,99045,Dale County,45,1,2010,50251.0,37236.0,9679.0,2821.0,2532.0,18727.0,2084.0,18509.0,796.0,4521.0,775.0,5158.0,1546.0,293.0,198.0,1275.0,0.13520585251241524,0.11259387325085093
1,99047,Dallas County,47,1,2010,43820.0,12769.0,30423.0,309.0,610.0,6076.0,661.0,6693.0,2210.0,13844.0,2467.0,16579.0,179.0,35.0,25.0,130.0,0.10039499670836076,0.0987598984013148
1,99049,DeKalb County,49,1,2010,71109.0,60087.0,1078.0,9690.0,3653.0,29472.0,3447.0,30615.0,88.0,539.0,66.0,539.0,5082.0,851.0,774.0,4608.0,0.12394815418023887,0.11259186673199412
1,99051,Elmore County,51,1,2010,79303.0,60455.0,15900.0,2129.0,3631.0,29233.0,3609.0,31222.0,1714.0,8009.0,1298.0,7891.0,1067.0,200.0,146.0,1062.0,0.12420894194916704,0.1155915700467619
1,99053,Escambia County,53,1,2010,38319.0,23784.0,12220.0,718.0,1364.0,11947.0,1242.0,11837.0,969.0,6606.0,803.0,5614.0,443.0,101.0,53.0,275.0,0.11417092157026869,0.1049252344344006
1,99055,Etowah County,55,1,2010,104430.0,83823.0,15796.0,3447.0,4995.0,40760.0,4759.0,43063.0,1375.0,7325.0,1353.0,8471.0,1923.0,377.0,291.0,1524.0,0.12254661432777232,0.11051250493463066
1,99057,Fayette County,57,1,2010,17241.0,14910.0,1969.0,204.0,960.0,7363.0,831.0,7547.0,147.0,961.0,140.0,1008.0,107.0,13.0,22.0,97.0,0.13038163791932636,0.11010997747449318
1,99059,Franklin County,59,1,2010,31704.0,26320.0,1228.0,4710.0,1657.0,12819.0,1584.0,13501.0,101.0,630.0,100.0,598.0,2690.0,515.0,319.0,2020.0,0.12926125282783368,0.11732464261906525
1,99061,Geneva County,61,1,2010,26790.0,23127.0,2539.0,920.0,1353.0,11340.0,1355.0,11787.0,179.0,1174.0,198.0,1365.0,514.0,116.0,63.0,406.0,0.11931216931216931,0.1149571561890218
1,99063,Greene County,63,1,2010,9045.0,1575.0,7370.0,69.0,66.0,804.0,53.0,771.0,577.0,3420.0,534.0,3950.0,30.0,5.0,6.0,39.0,0.08208955223880597,0.06874189364461739
1,99065,Hale County,65,1,2010,15760.0,6266.0,9301.0,140.0,346.0,3084.0,332.0,3182.0,707.0,4282.0,704.0,5019.0,79.0,17.0,8.0,61.0,0.11219195849546044,0.10433689503456946
1,99067,Henry County,67,1,2010,17302.0,11865.0,4942.0,389.0,562.0,5772.0,612.0,6093.0,350.0,2263.0,360.0,2679.0,210.0,42.0,36.0,179.0,0.09736659736659736,0.10044313146233383
1,99069,Houston County,69,1,2010,101547.0,71053.0,26176.0,2995.0,3946.0,34497.0,3990.0,36556.0,1970.0,12046.0,2152.0,14130.0,1624.0,286.0,207.0,1371.0,0.11438675826883497,0.10914760914760915
