FIPS_PLACE_main_file(7767),FIPS_PLACE_DEC_10_SF1_P12_with_ann_county_FIPS_PLACE_STATE(324),FIPS_PLACE_DEC_00_SF1_P12_with_ann_county_FIPS_PLACE_STATE(324),FIPS_PLACE_DEC_10_SF1_P12_with_ann_city_FIPS_PLACE_STATE(19289),FIPS_PLACE_DEC_00_SF1_P12_with_ann_city_FIPS_PLACE_STATE(17365),,,,,,,,,
70,1,1,65,65,,,,,,,,,
100,3,3,75,100,,,,,,,,,"1. Can covert FIPS_PLACE in main file to string format. Since it doesn't have any leading zeroes, no issues with bein gint type. But county and city files have leading zeroes and they are being lost when converted to int type"
113,5,5,100,113,,,,,,,,,2. And have FIPS_PLACE as str format in county and city census files
124,6,6,104,116,,,,,,,,,"3. If required, can add leading zeroes in strings with string formatting"
125,7,7,113,124,,,,,,,,,
148,9,9,116,125,,,,,,,,,4. Do we need to worry about this? Coz FIPS_PLACE in main file doesn't have any leading zeroes
156,11,11,124,135,,,,,,,,,
160,12,12,125,142,,,,,,,,,5. Total: from 2010 city census file DEC_10_SF1_P12_with_ann.csv had mixed types - int and str possibly due to va;ues like 53380(r38811). Better to define dtype for columns while reading large csvs since it would be memory intensive otherwise
170,13,13,135,148,,,,,,,,,
180,14,15,140,155,,,,,,,,,
184,15,16,142,160,,,,,,,,,
198,16,17,148,172,,,,,,,,,
200,17,19,150,175,,,,,,,,,
240,19,20,155,180,,,,,,,,,
243,20,21,156,184,,,,,,,,,
245,21,23,160,190,,,,,,,,,
275,23,25,172,198,,,,,,,,,
276,25,27,175,199,,,,,,,,,
296,27,28,178,200,,,,,,,,,
298,28,29,180,205,,,,,,,,,
300,29,31,184,212,,,,,,,,,
308,31,33,190,225,,,,,,,,,
342,33,35,196,230,,,,,,,,,
375,35,36,198,232,,,,,,,,,
380,36,37,199,235,,,,,,,,,
408,37,39,200,240,,,,,,,,,
415,39,41,205,243,,,,,,,,,
436,41,43,212,244,,,,,,,,,
440,43,45,225,245,,,,,,,,,
441,45,47,230,250,,,,,,,,,
460,47,49,232,262,,,,,,,,,
500,49,50,235,275,,,,,,,,,
505,50,51,240,276,,,,,,,,,
520,51,53,243,280,,,,,,,,,
540,53,55,244,295,,,,,,,,,
550,55,57,245,296,,,,,,,,,
555,57,59,250,298,,,,,,,,,
562,59,60,262,300,,,,,,,,,
576,60,61,275,316,,,,,,,,,
628,61,63,276,320,,,,,,,,,
640,63,65,280,325,,,,,,,,,
646,65,67,295,332,,,,,,,,,
660,67,68,296,340,,,,,,,,,
674,68,69,298,342,,,,,,,,,
676,69,70,300,350,,,,,,,,,
680,70,71,310,364,,,,,,,,,
685,71,73,316,370,,,,,,,,,
694,73,75,320,372,,,,,,,,,
700,75,77,325,375,,,,,,,,,
724,77,78,332,380,,,,,,,,,
730,78,79,340,394,,,,,,,,,
760,79,81,342,396,,,,,,,,,
765,81,83,350,400,,,,,,,,,
772,83,85,364,408,,,,,,,,,
802,85,86,370,415,,,,,,,,,
820,86,87,372,417,,,,,,,,,
852,87,89,375,424,,,,,,,,,
884,89,90,380,436,,,,,,,,,
892,90,91,394,440,,,,,,,,,
905,91,93,396,441,,,,,,,,,
910,93,95,400,450,,,,,,,,,
928,95,97,408,460,,,,,,,,,
950,97,99,410,464,,,,,,,,,
955,99,100,415,468,,,,,,,,,
958,100,101,424,475,,,,,,,,,
970,101,103,436,484,,,,,,,,,
975,103,105,440,496,,,,,,,,,
980,105,107,441,500,,,,,,,,,
988,107,109,450,505,,,,,,,,,
996,109,110,460,514,,,,,,,,,
1000,110,111,464,516,,,,,,,,,
1010,111,113,468,530,,,,,,,,,
1024,113,115,475,540,,,,,,,,,
1030,115,117,478,550,,,,,,,,,
1033,117,119,480,555,,,,,,,,,
1052,119,121,484,562,,,,,,,,,
1060,121,122,496,568,,,,,,,,,
1090,122,123,500,572,,,,,,,,,
1114,123,125,505,576,,,,,,,,,
1132,125,127,514,580,,,,,,,,,
1135,127,129,516,587,,,,,,,,,
1150,129,130,520,590,,,,,,,,,
1180,130,131,530,595,,,,,,,,,
1185,131,133,535,600,,,,,,,,,
1187,133,135,540,604,,,,,,,,,
1198,135,137,550,618,,,,,,,,,
1228,137,139,555,620,,,,,,,,,
1240,139,141,562,622,,,,,,,,,
1260,141,143,568,625,,,,,,,,,
1286,143,145,572,628,,,,,,,,,
1290,145,147,576,640,,,,,,,,,
1300,147,149,580,646,,,,,,,,,
1310,149,150,590,650,,,,,,,,,
1325,150,151,595,660,,,,,,,,,
1360,151,153,600,672,,,,,,,,,
1380,153,155,604,674,,,,,,,,,
1400,155,157,618,675,,,,,,,,,
1420,157,159,620,676,,,,,,,,,
1444,159,161,622,680,,,,,,,,,
1450,161,163,625,685,,,,,,,,,
1465,163,164,628,694,,,,,,,,,
1468,164,165,640,700,,,,,,,,,
1486,165,167,646,712,,,,,,,,,
1520,167,169,650,724,,,,,,,,,
1528,169,170,652,730,,,,,,,,,
1540,170,171,660,737,,,,,,,,,
1543,171,173,672,748,,,,,,,,,
1550,173,175,674,750,,,,,,,,,
1576,175,177,676,756,,,,,,,,,
1595,177,179,680,760,,,,,,,,,
1600,179,180,685,765,,,,,,,,,
1605,180,181,694,772,,,,,,,,,
1612,181,183,700,775,,,,,,,,,
1630,183,185,712,784,,,,,,,,,
1640,185,186,716,790,,,,,,,,,
1660,186,187,724,800,,,,,,,,,
1666,187,188,730,802,,,,,,,,,
1672,188,189,737,815,,,,,,,,,
