place_fips,STATEFP,Govt_level
51000,2,0
21040,2,2
42380,2,2
97000,2,7
51000,2,7
97000,2,7
97000,2,7
51000,2,7
51000,2,0
21150,2,2
51000,2,7
97000,2,7
3440,2,2
59650,2,2
22910,2,2
33470,2,2
41720,2,2
51000,2,7
3000,2,2
24230,2,2
36400,2,2
38970,2,2
40950,2,2
54920,2,2
60310,2,2
68560,2,2
70540,2,2
70760,2,2
86380,2,2
82200,2,2
6520,2,2
17410,2,2
86498,2,2
41830,2,2
58660,2,2
99185,2,1
68340,2,2
71640,2,2
31050,2,2
33140,2,2
38420,2,2
999999,2,0
97000,2,7
24230,2,0
3000,2,0
84510,2,2
26760,2,2
18950,2,2
33360,2,2
55910,2,2
80770,2,2
27530,2,2
40400,2,2
80660,2,2
24230,2,0
3000,2,0
75160,2,2
17740,2,2
99060,2,1
36770,2,2
53050,2,2
66470,2,2
39410,2,2
67020,2,2
77690,2,2
83080,2,2
66140,2,2
98000,2,0
98000,2,0
97000,2,7
71976,1,2
51000,1,4
8104,1,2
20104,1,0
24256,1,2
99073,1,1
5980,1,2
7000,1,2
51696,1,2
25120,1,2
29056,1,2
41968,1,2
48376,1,2
74976,1,2
78552,1,2
35800,1,2
28552,1,2
35896,1,2
37864,1,2
61008,1,2
999999,1,99
31384,1,2
999999,1,99
9400,1,2
36448,1,2
43336,1,2
76944,1,2
460,1,2
79944,1,2
7000,1,0
76680,1,2
51456,1,2
9736,1,2
12040,1,2
39856,1,2
17968,1,2
7000,1,0
7000,1,0
99097,1,1
50000,1,2
62496,1,2
14392,1,2
15064,1,2
68160,1,2
4684,1,2
68352,1,2
52608,1,2
82752,1,99
52608,1,0
50000,1,0
18304,1,2
50000,1,0
19744,1,2
999999,1,7
50000,1,0
99101,1,1
51000,1,2
98000,1,0
98000,1,0
98000,1,0
51000,1,0
51000,1,0
98000,1,0
51000,1,0
51000,1,4
51000,1,0
99001,1,1
62328,1,2
3220,1,2
99003,1,1
4660,1,2
25240,1,2
26992,1,2
32272,1,2
65208,1,2
44608,1,2
70536,1,2
19648,1,2
73872,1,2
23320,1,2
4660,1,0
57144,1,2
99005,1,1
24568,1,2
15376,1,2
15640,1,2
44344,1,2
99007,1,1
13672,1,2
9136,1,2
80928,1,2
99009,1,1
57000,1,2
7456,1,2
15472,1,2
71280,1,2
34480,1,2
99011,1,1
77880,1,2
99013,1,1
31912,1,2
29560,1,2
45496,1,2
99015,1,1
1852,1,2
38272,1,2
59640,1,2
80352,1,2
57576,1,2
35152,1,2
56472,1,2
38272,1,0
99017,1,1
40672,1,2
41296,1,2
78204,1,2
99019,1,1
13648,1,2
12760,1,2
42016,1,2
99021,1,1
15136,1,2
46504,1,2
38608,1,2
76080,1,2
99023,1,1
11032,1,2
29704,1,2
58968,1,2
70416,1,2
76632,1,2
43384,1,2
99025,1,1
38152,1,2
75960,1,2
32080,1,2
28504,1,2
16264,1,2
99027,1,1
2860,1,2
43264,1,2
99029,1,1
33976,1,2
63408,1,2
99031,1,1
23296,1,2
24184,1,2
53856,1,2
40096,1,2
24184,1,0
99033,1,1
69648,1,2
77280,1,2
53016,1,2
14152,1,2
42160,1,2
43648,1,2
99035,1,1
24808,1,2
12496,1,2
64368,1,2
99037,1,1
30640,1,2
65472,1,2
99039,1,1
1708,1,2
57120,1,2
26848,1,2
28936,1,2
63768,1,2
43816,1,2
64776,1,2
99041,1,1
44728,1,2
9016,1,2
21448,1,2
30160,1,2
99043,1,1
18976,1,2
32968,1,2
29032,1,2
30496,1,2
