ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Pct_WYM,Pct_WYF
AL00500,BALDWIN,1,99003,Baldwin County,3.0,1,1990,98280,83800,12592,5289,41355,5073,43210,1062,5902,1191,6738,0.127892636924193,0.117403378847489
AL00600,BARBOUR,1,99005,Barbour County,5.0,1,1990,25417,14054,11156,953,6901,887,7217,886,5136,934,6058,0.138095928126358,0.12290425384508802
AL00800,BLOUNT,1,99009,Blount County,9.0,1,1990,39248,38275,519,2893,18731,2755,19666,40,243,39,278,0.154449842507074,0.140089494559138
AL01000,BUTLER,1,99013,Butler County,13.0,1,1990,21892,13001,8783,786,6172,727,6877,717,4043,770,4755,0.12734931950745298,0.105714701177839
AL01200,CHAMBERS,1,99017,Chambers County,17.0,1,1990,36876,23510,13187,1567,11238,1504,12337,1202,6103,1236,7118,0.139437622352732,0.12190970252087201
AL01300,CHEROKEE,1,99019,Cherokee County,19.0,1,1990,19543,18118,1291,1365,8926,1212,9228,106,636,114,655,0.152924042124132,0.131339401820546
AL01400,CHILTON,1,99021,Chilton County,21.0,1,1990,32458,28577,3664,2053,13928,1995,14719,304,1771,320,1903,0.14740091901206198,0.13553909912358197
AL01500,CHOCTAW,1,99023,Choctaw County,23.0,1,1990,16018,8889,7052,643,4314,625,4599,553,3267,643,3810,0.149049605934168,0.135899108501848
AL01800,CLEBURNE COUNTY,1,99029,Cleburne County,29.0,1,1990,12730,12072,587,938,5952,864,6132,46,270,48,317,0.157594086021505,0.14090019569471599
AL01900,COFFEE,1,99031,Coffee County,31.0,1,1990,40240,32396,6903,2425,16135,2215,16567,582,3269,611,3648,0.15029439107530201,0.133699523148428
AL02000,COLBERT,1,99033,Colbert County,33.0,1,1990,51666,42701,8545,2992,20796,2702,22024,609,3861,720,4707,0.14387382188882503,0.122684344351616
AL02200,COOSA,1,99037,Coosa County,37.0,1,1990,11063,7230,3776,463,3557,464,3685,361,1854,367,1928,0.130165870115266,0.12591587516960698
AL02400,CRENSHAW,1,99041,Crenshaw County,41.0,1,1990,13635,10027,3542,657,4834,618,5214,292,1611,310,1933,0.135912287960281,0.118527042577675
AL02600,DALE,1,99045,Dale County,45.0,1,1990,49633,38690,8767,3809,20214,2881,19151,846,4238,844,4609,0.188433758781043,0.150436008563521
AL02700,DALLAS,1,99047,Dallas County,47.0,1,1990,48130,20054,27768,1259,9510,1192,10611,2352,12336,2650,15489,0.132386961093586,0.11233625482989401
AL02800,DE KALB,1,99049,DeKalb County,49.0,1,1990,54651,52854,1023,3900,25582,3664,27398,109,483,82,545,0.15245094206864201,0.133732389225491
AL03200,FAYETTE,1,99057,Fayette County,57.0,1,1990,17962,15666,2190,1113,7537,1115,8180,162,996,184,1194,0.14767148732917598,0.136308068459658
AL03300,FRANKLIN,1,99059,Franklin County,59.0,1,1990,27814,26375,1247,1897,12662,1769,13801,105,583,105,666,0.149818354130469,0.12817911745525698
AL03400,GENEVA,1,99061,Geneva County,61.0,1,1990,23647,20604,2817,1486,10028,1322,10654,266,1294,257,1530,0.14818508177104098,0.12408485076027802
AL03500,GREENE,1,99063,Greene County,63.0,1,1990,10153,1966,8160,105,978,87,988,584,3678,679,4503,0.10736196319018401,0.0880566801619433
AL03700,HENRY,1,99067,Henry County,67.0,1,1990,15374,9878,5368,641,4746,614,5172,465,2493,486,2902,0.135061104087653,0.118716163959783
AL03800,HOUSTON,1,99069,Houston County,69.0,1,1990,81331,61233,18900,4143,29611,4095,31902,1528,8599,1720,10355,0.139914221066496,0.128361858190709
AL03900,JACKSON,1,99071,Jackson County,71.0,1,1990,47796,44531,1957,3312,21630,3166,23066,158,904,181,1064,0.15312066574202501,0.137258302263071
