ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
AL00500,BALDWIN,1,99003,Baldwin County,3.0,1,2010,182265.0,156153.0,17105.0,7992.0,8436.0,76274.0,8222.0,79879.0,1491.0,8309.0,1457.0,8796.0,4425.0,849.0,578.0,3567.0,0.11060125337598656,0.10293068265751948
AL00600,BARBOUR,1,99005,Barbour County,5.0,1,2010,27457.0,13180.0,12875.0,1387.0,743.0,7027.0,579.0,6153.0,1044.0,6778.0,853.0,6097.0,777.0,179.0,120.0,610.0,0.10573502205777714,0.09410043881033643
AL00800,BLOUNT,1,99009,Blount County,9.0,1,2010,57322.0,53068.0,761.0,4626.0,3274.0,26149.0,3099.0,26919.0,69.0,385.0,38.0,376.0,2569.0,490.0,343.0,2057.0,0.12520555279360587,0.11512314721943608
AL01000,BUTLER,1,99013,Butler County,13.0,1,2010,20947.0,11399.0,9095.0,191.0,587.0,5471.0,562.0,5928.0,659.0,4132.0,701.0,4963.0,106.0,22.0,13.0,85.0,0.10729299945165416,0.09480431848852902
AL01200,CHAMBERS,1,99017,Chambers County,17.0,1,2010,34215.0,20112.0,13257.0,536.0,1156.0,9815.0,1014.0,10297.0,935.0,6079.0,980.0,7178.0,331.0,64.0,30.0,205.0,0.11777890983188995,0.09847528406331943
AL01300,CHEROKEE,1,99019,Cherokee County,19.0,1,2010,25989.0,24081.0,1208.0,320.0,1377.0,11907.0,1292.0,12174.0,97.0,618.0,54.0,590.0,157.0,38.0,24.0,163.0,0.11564625850340135,0.10612781337276164
AL01400,CHILTON,1,99021,Chilton County,21.0,1,2010,43643.0,36713.0,4230.0,3420.0,2266.0,18018.0,2198.0,18695.0,355.0,2079.0,303.0,2151.0,1976.0,335.0,206.0,1444.0,0.12576312576312576,0.1175715431933672
AL01500,CHOCTAW,1,99023,Choctaw County,23.0,1,2010,13859.0,7731.0,6012.0,73.0,367.0,3788.0,369.0,3943.0,433.0,2833.0,388.0,3179.0,40.0,9.0,2.0,33.0,0.09688489968321014,0.09358356581283286
AL01800,CLEBURNE COUNTY,1,99029,Cleburne County,29.0,1,2010,14972.0,14079.0,498.0,307.0,880.0,6991.0,847.0,7088.0,35.0,238.0,35.0,260.0,197.0,39.0,19.0,110.0,0.12587612644829066,0.11949774266365687
AL01900,COFFEE,1,99031,Coffee County,31.0,1,2010,49948.0,37330.0,8359.0,3180.0,2338.0,18500.0,2163.0,18830.0,613.0,3977.0,645.0,4382.0,1853.0,312.0,222.0,1327.0,0.12637837837837834,0.11486988847583646
