ORI,AGENCY,Govt_level,placename,CNTY,POP100,White_count,Black_count,Other_count,Hispan_allcount,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Other_Males_All,Age1524_OtherM,Age1524_OtherF,Other_Females_All,Pct_WYM,Pct_WYF,POP,STATEFP,place_fips
AL00500,BALDWIN,1,Baldwin County,3.0,98280,83800,12592,866,1022,5289,41355,5073,43210,1062,5902,1191,6738,500,83,72,522,122,23,14,102,0.127892636924193,0.117403378847489,57926.0,1,99003
AL00600,BARBOUR,1,Barbour County,5.0,25417,14054,11156,83,124,953,6901,887,7217,886,5136,934,6058,63,7,10,61,6,1,1,9,0.138095928126358,0.12290425384508802,10633.0,1,99005
AL00800,BLOUNT,1,Blount County,9.0,39248,38275,519,168,286,2893,18731,2755,19666,40,243,39,278,188,69,24,98,114,41,13,50,0.154449842507074,0.140089494559138,32245.0,1,99009
AL01000,BUTLER,1,Butler County,13.0,21892,13001,8783,43,65,786,6172,727,6877,717,4043,770,4755,22,7,8,43,2,1,0,0,0.12734931950745298,0.105714701177839,12467.0,1,99013
AL01200,CHAMBERS,1,Chambers County,17.0,36876,23510,13187,52,127,1567,11238,1504,12337,1202,6103,1236,7118,54,14,14,73,17,8,2,9,0.139437622352732,0.121909702520872,16567.0,1,99017
AL01300,CHEROKEE,1,Cherokee County,19.0,19543,18118,1291,77,57,1365,8926,1212,9228,106,636,114,655,33,8,5,24,15,5,2,8,0.152924042124132,0.131339401820546,15476.0,1,99019
AL01400,CHILTON,1,Chilton County,21.0,32458,28577,3664,101,116,2053,13928,1995,14719,304,1771,320,1903,54,11,11,62,24,6,3,12,0.14740091901206198,0.13553909912358195,20701.0,1,99021
AL01500,CHOCTAW,1,Choctaw County,23.0,16018,8889,7052,24,53,643,4314,625,4599,553,3267,643,3810,21,1,8,32,2,0,1,4,0.149049605934168,0.135899108501848,14146.0,1,99023
AL01800,CLEBURNE COUNTY,1,Cleburne County,29.0,12730,12072,587,33,38,938,5952,864,6132,46,270,48,317,23,5,1,15,18,2,0,8,0.157594086021505,0.140900195694716,9824.0,1,99029
AL01900,COFFEE,1,Coffee County,31.0,40240,32396,6903,470,471,2425,16135,2215,16567,582,3269,611,3648,250,47,40,221,84,15,13,57,0.150294391075302,0.133699523148428,14922.0,1,99031
AL02000,COLBERT,1,Colbert County,33.0,51666,42701,8545,233,187,2992,20796,2702,22024,609,3861,720,4707,97,18,16,90,25,6,3,23,0.14387382188882505,0.122684344351616,19870.0,1,99033
