ORI,AGENCY,Govt_level,placename,CNTY,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF,place_fips,STATEFP
AL00500,BALDWIN,1,Baldwin County,3.0,2000,140415.0,122366.0,14444.0,2466.0,6902.0,59953.0,6638.0,62413.0,1263.0,7047.0,1199.0,7397.0,1345.0,298.0,173.0,1121.0,0.11512351341884475,0.10635604761828464,99003,1
AL00600,BARBOUR,1,Barbour County,5.0,2000,29038.0,14887.0,13451.0,478.0,951.0,7720.0,750.0,7167.0,1240.0,6790.0,977.0,6661.0,329.0,92.0,42.0,149.0,0.12318652849740933,0.10464629552113856,99005,1
AL00800,BLOUNT,1,Blount County,9.0,2000,51024.0,48512.0,606.0,2718.0,3049.0,24167.0,2923.0,24345.0,42.0,291.0,33.0,315.0,1607.0,373.0,251.0,1111.0,0.12616377705135098,0.12006572191415076,99009,1
AL01000,BUTLER,1,Butler County,13.0,2000,21399.0,12492.0,8732.0,143.0,715.0,5970.0,725.0,6522.0,720.0,3966.0,814.0,4766.0,74.0,9.0,9.0,69.0,0.11976549413735345,0.11116222017785957,99013,1
AL01200,CHAMBERS,1,Chambers County,17.0,2000,36583.0,22271.0,13943.0,280.0,1237.0,10724.0,1181.0,11547.0,1069.0,6380.0,1137.0,7563.0,142.0,18.0,25.0,138.0,0.11534875046624392,0.10227764787390664,99017,1
AL01300,CHEROKEE,1,Cherokee County,19.0,2000,23988.0,22268.0,1330.0,204.0,1190.0,10955.0,1251.0,11313.0,106.0,639.0,99.0,691.0,107.0,21.0,14.0,97.0,0.10862619808306707,0.1105807478122514,99019,1
AL01400,CHILTON,1,Chilton County,21.0,2000,39593.0,34330.0,4200.0,1152.0,2222.0,16930.0,2193.0,17400.0,328.0,2012.0,343.0,2188.0,736.0,183.0,95.0,416.0,0.1312463083284111,0.1260344827586207,99021,1
AL01500,CHOCTAW,1,Choctaw County,23.0,2000,15922.0,8779.0,7027.0,107.0,493.0,4230.0,512.0,4549.0,471.0,3203.0,535.0,3824.0,47.0,6.0,8.0,60.0,0.116548463356974,0.11255220927676413,99023,1
AL01800,CLEBURNE COUNTY,1,Cleburne County,29.0,2000,14123.0,13380.0,523.0,198.0,837.0,6677.0,798.0,6703.0,44.0,252.0,37.0,271.0,123.0,30.0,12.0,75.0,0.12535569866706606,0.11905117111741012,99029,1
AL01900,COFFEE,1,Coffee County,31.0,2000,43615.0,33631.0,8013.0,1183.0,2154.0,16534.0,1987.0,17097.0,655.0,3848.0,653.0,4165.0,644.0,167.0,100.0,539.0,0.13027700495947744,0.11621921974615428,99031,1
AL02000,COLBERT,1,Colbert County,33.0,2000,54984.0,44825.0,9137.0,618.0,2538.0,21651.0,2636.0,23174.0,692.0,4145.0,675.0,4992.0,326.0,62.0,48.0,292.0,0.11722322294582235,0.11374816604815742,99033,1
AL02200,COOSA,1,Coosa County,37.0,2000,12202.0,7802.0,4172.0,158.0,447.0,3977.0,441.0,3825.0,324.0,2113.0,274.0,2059.0,118.0,34.0,7.0,40.0,0.11239627860196127,0.11529411764705882,99037,1
AL02400,CRENSHAW,1,Crenshaw County,41.0,2000,13665.0,10088.0,3388.0,87.0,596.0,4850.0,560.0,5238.0,246.0,1518.0,277.0,1870.0,47.0,5.0,2.0,40.0,0.12288659793814433,0.10691103474608628,99041,1
AL02600,DALE,1,Dale County,45.0,2000,49129.0,36541.0,10002.0,1642.0,2396.0,18431.0,2263.0,18110.0,852.0,4689.0,918.0,5313.0,841.0,149.0,153.0,801.0,0.12999837230752534,0.12495858641634455,99045,1
AL02700,DALLAS,1,Dallas County,47.0,2000,46365.0,16496.0,29332.0,290.0,932.0,7856.0,858.0,8640.0,2320.0,12963.0,2615.0,16369.0,144.0,38.0,26.0,146.0,0.11863543788187372,0.09930555555555556,99047,1
AL02800,DE KALB,1,DeKalb County,49.0,2000,64452.0,59652.0,1083.0,3578.0,3813.0,29005.0,3745.0,30647.0,72.0,484.0,90.0,599.0,2086.0,583.0,349.0,1492.0,0.13146009308739873,0.12219793128201782,99049,1
AL03200,FAYETTE,1,Fayette County,57.0,2000,18495.0,16075.0,2207.0,152.0,1049.0,7822.0,961.0,8253.0,170.0,1013.0,154.0,1194.0,77.0,7.0,15.0,75.0,0.13410892354896445,0.11644250575548284,99057,1
AL03300,FRANKLIN,1,Franklin County,59.0,2000,31223.0,28001.0,1314.0,2316.0,1857.0,13575.0,1722.0,14426.0,102.0,617.0,94.0,697.0,1454.0,399.0,173.0,862.0,0.13679558011049725,0.11936780812422015,99059,1
