GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimates (as of July 1) - 2010,Population Estimates (as of July 1) - 2011
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54637,55267
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183259,186717
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27390,27119
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22880,22766
0500000US01009,01009,"Blount County, Alabama",57322,57322,57387,57677
0500000US01011,01011,"Bullock County, Alabama",10914,10915,10893,10542
0500000US01013,01013,"Butler County, Alabama",20947,20947,20941,20650
0500000US01015,01015,"Calhoun County, Alabama",118572,118572,118426,117797
0500000US01017,01017,"Chambers County, Alabama",34215,34215,34143,33939
0500000US01019,01019,"Cherokee County, Alabama",25989,25989,25997,26057
0500000US01021,01021,"Chilton County, Alabama",43643,43642,43722,43895
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13851,13609
0500000US01025,01025,"Clarke County, Alabama",25833,25840,25776,25695
0500000US01027,01027,"Clay County, Alabama",13932,13932,13935,13862
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,14978,14835
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50167,50526
0500000US01033,01033,"Colbert County, Alabama",54428,54428,54491,54512
0500000US01035,01035,"Conecuh County, Alabama",13228,13228,13222,13105
0500000US01037,01037,"Coosa County, Alabama",11539,11537,11458,10713
0500000US01039,01039,"Covington County, Alabama",37765,37765,37800,38058
0500000US01041,01041,"Crenshaw County, Alabama",13906,13906,13878,13911
0500000US01043,01043,"Cullman County, Alabama",80406,80406,80496,80536
0500000US01045,01045,"Dale County, Alabama",50251,50251,50343,50044
0500000US01047,01047,"Dallas County, Alabama",43820,43820,43792,43332
0500000US01049,01049,"DeKalb County, Alabama",71109,71109,71122,71375
0500000US01051,01051,"Elmore County, Alabama",79303,79303,79590,80162
0500000US01053,01053,"Escambia County, Alabama",38319,38319,38295,38095
0500000US01055,01055,"Etowah County, Alabama",104430,104430,104440,104303
0500000US01057,01057,"Fayette County, Alabama",17241,17241,17250,17182
0500000US01059,01059,"Franklin County, Alabama",31704,31704,31723,31884
0500000US01061,01061,"Geneva County, Alabama",26790,26790,26828,26781
0500000US01063,01063,"Greene County, Alabama",9045,9045,9005,8921
0500000US01065,01065,"Hale County, Alabama",15760,15760,15736,15421
0500000US01067,01067,"Henry County, Alabama",17302,17302,17308,17412
0500000US01069,01069,"Houston County, Alabama",101547,101547,101769,102369
0500000US01071,01071,"Jackson County, Alabama",53227,53226,53175,53291
0500000US01073,01073,"Jefferson County, Alabama",658466,658466,658386,658931
0500000US01075,01075,"Lamar County, Alabama",14564,14564,14520,14311
0500000US01077,01077,"Lauderdale County, Alabama",92709,92709,92727,92781
0500000US01079,01079,"Lawrence County, Alabama",34339,34339,34328,34117
0500000US01081,01081,"Lee County, Alabama",140247,140247,140784,143468
0500000US01083,01083,"Limestone County, Alabama",82782,82782,83239,85369
0500000US01085,01085,"Lowndes County, Alabama",11299,11299,11270,11147
0500000US01087,01087,"Macon County, Alabama",21452,21452,21535,21182
0500000US01089,01089,"Madison County, Alabama",334811,334811,336141,340111
0500000US01091,01091,"Marengo County, Alabama",21027,21029,20980,20692
0500000US01093,01093,"Marion County, Alabama",30776,30776,30781,30663
0500000US01095,01095,"Marshall County, Alabama",93019,93019,93203,94166
0500000US01097,01097,"Mobile County, Alabama",412992,412990,413116,412577
0500000US01099,01099,"Monroe County, Alabama",23068,23070,22987,22760
0500000US01101,01101,"Montgomery County, Alabama",229363,229363,229706,232032
0500000US01103,01103,"Morgan County, Alabama",119490,119490,119606,119953
0500000US01105,01105,"Perry County, Alabama",10591,10586,10542,10373
0500000US01107,01107,"Pickens County, Alabama",19746,19746,19723,19349
0500000US01109,01109,"Pike County, Alabama",32899,32899,32970,32915
0500000US01111,01111,"Randolph County, Alabama",22913,22913,22929,22787
0500000US01113,01113,"Russell County, Alabama",52947,52947,53207,54572
0500000US01115,01115,"St. Clair County, Alabama",83593,83598,83835,84398
0500000US01117,01117,"Shelby County, Alabama",195085,195080,195858,197936
0500000US01119,01119,"Sumter County, Alabama",13763,13763,13758,13478
0500000US01121,01121,"Talladega County, Alabama",82291,82291,82027,81664
0500000US01123,01123,"Tallapoosa County, Alabama",41616,41618,41534,41623
0500000US01125,01125,"Tuscaloosa County, Alabama",194656,194653,194998,197211
0500000US01127,01127,"Walker County, Alabama",67023,67023,67000,66661
0500000US01129,01129,"Washington County, Alabama",17581,17583,17610,17344
0500000US01131,01131,"Wilcox County, Alabama",11670,11664,11603,11482
0500000US01133,01133,"Winston County, Alabama",24484,24484,24395,24327
0500000US02013,02013,"Aleutians East Borough, Alaska",3141,3141,3155,3172
0500000US02016,02016,"Aleutians West Census Area, Alaska",5561,5561,5545,5504
0500000US02020,02020,"Anchorage Municipality, Alaska",291826,291826,293356,295570
0500000US02050,02050,"Bethel Census Area, Alaska",17013,17013,17105,17416
0500000US02060,02060,"Bristol Bay Borough, Alaska",997,997,1003,1030
0500000US02068,02068,"Denali Borough, Alaska",1826,1826,1835,1855
0500000US02070,02070,"Dillingham Census Area, Alaska",4847,4847,4874,4975
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",97581,97581,98279,99192
0500000US02100,02100,"Haines Borough, Alaska",2508,2508,2508,2554
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2150,2150,2153,2112
0500000US02110,02110,"Juneau City and Borough, Alaska",31275,31275,31409,32164
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",55400,55400,55575,56293
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13477,13477,13531,13593
0500000US02150,02150,"Kodiak Island Borough, Alaska",13592,13592,13640,13872
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1631,1631,1634,1668
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",88995,88995,89772,91946
0500000US02180,02180,"Nome Census Area, Alaska",9492,9492,9571,9856
0500000US02185,02185,"North Slope Borough, Alaska",9430,9430,9472,9503
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7523,7523,7553,7733
0500000US02195,02195,"Petersburg Census Area, Alaska",3815,3815,3826,3838
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",5559,5559,5597,5737
0500000US02220,02220,"Sitka City and Borough, Alaska",8881,8881,8912,8952
0500000US02230,02230,"Skagway Municipality, Alaska",968,968,965,935
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",7029,7029,7065,7132
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",9636,9636,9689,9770
0500000US02270,02270,"Wade Hampton Census Area, Alaska",7459,7459,7469,7662
0500000US02275,02275,"Wrangell City and Borough, Alaska",2369,2369,2377,2382
0500000US02282,02282,"Yakutat City and Borough, Alaska",662,662,659,646
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5588,5588,5617,5656
0500000US04001,04001,"Apache County, Arizona",71518,71518,71634,72401
0500000US04003,04003,"Cochise County, Arizona",131346,131346,131723,133289
0500000US04005,04005,"Coconino County, Arizona",134421,134418,134606,134511
0500000US04007,04007,"Gila County, Arizona",53597,53597,53505,53144
0500000US04009,04009,"Graham County, Arizona",37220,37220,37116,37147
0500000US04011,04011,"Greenlee County, Arizona",8437,8437,8351,8606
0500000US04012,04012,"La Paz County, Arizona",20489,20489,20471,20419
0500000US04013,04013,"Maricopa County, Arizona",3817117,3817117,3824834,3880244
0500000US04015,04015,"Mohave County, Arizona",200186,200186,201567,202351
0500000US04017,04017,"Navajo County, Arizona",107449,107449,107568,107398
0500000US04019,04019,"Pima County, Arizona",980263,980263,982108,989569
0500000US04021,04021,"Pinal County, Arizona",375770,375770,384236,382992
0500000US04023,04023,"Santa Cruz County, Arizona",47420,47420,47465,47676
0500000US04025,04025,"Yavapai County, Arizona",211033,211033,211144,211888
0500000US04027,04027,"Yuma County, Arizona",195751,195750,196830,200870
0500000US05001,05001,"Arkansas County, Arkansas",19019,19019,18994,18892
0500000US05003,05003,"Ashley County, Arkansas",21853,21853,21840,21692
0500000US05005,05005,"Baxter County, Arkansas",41513,41513,41527,41536
0500000US05007,05007,"Benton County, Arkansas",221339,221339,222924,227556
0500000US05009,05009,"Boone County, Arkansas",36903,36903,36914,37051
0500000US05011,05011,"Bradley County, Arkansas",11508,11508,11501,11482
0500000US05013,05013,"Calhoun County, Arkansas",5368,5368,5331,5144
0500000US05015,05015,"Carroll County, Arkansas",27446,27446,27533,27512
0500000US05017,05017,"Chicot County, Arkansas",11800,11800,11799,11721
0500000US05019,05019,"Clark County, Arkansas",22995,22995,22959,22858
0500000US05021,05021,"Clay County, Arkansas",16083,16083,16070,15880
0500000US05023,05023,"Cleburne County, Arkansas",25970,25970,26000,25901
0500000US05025,05025,"Cleveland County, Arkansas",8689,8689,8697,8672
0500000US05027,05027,"Columbia County, Arkansas",24552,24552,24498,24401
0500000US05029,05029,"Conway County, Arkansas",21273,21273,21275,21270
0500000US05031,05031,"Craighead County, Arkansas",96443,96443,96705,98315
0500000US05033,05033,"Crawford County, Arkansas",61948,61948,61997,61944
0500000US05035,05035,"Crittenden County, Arkansas",50902,50902,50913,50525
0500000US05037,05037,"Cross County, Arkansas",17870,17866,17834,17781
0500000US05039,05039,"Dallas County, Arkansas",8116,8116,8092,8072
0500000US05041,05041,"Desha County, Arkansas",13008,13008,12986,12763
0500000US05043,05043,"Drew County, Arkansas",18509,18509,18517,18467
0500000US05045,05045,"Faulkner County, Arkansas",113237,113237,114021,116342
0500000US05047,05047,"Franklin County, Arkansas",18125,18125,18128,18047
0500000US05049,05049,"Fulton County, Arkansas",12245,12245,12242,12296
0500000US05051,05051,"Garland County, Arkansas",96024,96022,96218,97124
0500000US05053,05053,"Grant County, Arkansas",17853,17853,17893,17988
0500000US05055,05055,"Greene County, Arkansas",42090,42090,42171,42720
0500000US05057,05057,"Hempstead County, Arkansas",22609,22609,22590,22541
0500000US05059,05059,"Hot Spring County, Arkansas",32923,32923,32938,32881
0500000US05061,05061,"Howard County, Arkansas",13789,13789,13817,13886
0500000US05063,05063,"Independence County, Arkansas",36647,36647,36724,36861
0500000US05065,05065,"Izard County, Arkansas",13696,13696,13671,13419
0500000US05067,05067,"Jackson County, Arkansas",17997,17997,17972,17866
0500000US05069,05069,"Jefferson County, Arkansas",77435,77435,77317,76246
0500000US05071,05071,"Johnson County, Arkansas",25540,25540,25578,25742
0500000US05073,05073,"Lafayette County, Arkansas",7645,7645,7636,7516
0500000US05075,05075,"Lawrence County, Arkansas",17415,17415,17421,17178
0500000US05077,05077,"Lee County, Arkansas",10424,10424,10423,10326
0500000US05079,05079,"Lincoln County, Arkansas",14134,14134,14100,14006
0500000US05081,05081,"Little River County, Arkansas",13171,13171,13137,12996
0500000US05083,05083,"Logan County, Arkansas",22353,22353,22334,22290
0500000US05085,05085,"Lonoke County, Arkansas",68356,68354,68658,69341
0500000US05087,05087,"Madison County, Arkansas",15717,15720,15707,15776
0500000US05089,05089,"Marion County, Arkansas",16653,16653,16633,16573
0500000US05091,05091,"Miller County, Arkansas",43462,43462,43530,43759
0500000US05093,05093,"Mississippi County, Arkansas",46480,46480,46332,45966
0500000US05095,05095,"Monroe County, Arkansas",8149,8149,8121,8075
0500000US05097,05097,"Montgomery County, Arkansas",9487,9487,9486,9433
0500000US05099,05099,"Nevada County, Arkansas",8997,8997,8984,9017
0500000US05101,05101,"Newton County, Arkansas",8330,8330,8339,8264
0500000US05103,05103,"Ouachita County, Arkansas",26120,26120,26129,25880
0500000US05105,05105,"Perry County, Arkansas",10445,10445,10464,10405
0500000US05107,05107,"Phillips County, Arkansas",21757,21757,21671,21442
0500000US05109,05109,"Pike County, Arkansas",11291,11291,11296,11259
0500000US05111,05111,"Poinsett County, Arkansas",24583,24583,24551,24514
0500000US05113,05113,"Polk County, Arkansas",20662,20662,20664,20610
0500000US05115,05115,"Pope County, Arkansas",61754,61754,61875,62331
0500000US05117,05117,"Prairie County, Arkansas",8715,8715,8713,8618
0500000US05119,05119,"Pulaski County, Arkansas",382748,382750,383581,386299
0500000US05121,05121,"Randolph County, Arkansas",17969,17969,17970,18017
0500000US05123,05123,"St. Francis County, Arkansas",28258,28258,28165,27970
0500000US05125,05125,"Saline County, Arkansas",107118,107120,107636,109526
0500000US05127,05127,"Scott County, Arkansas",11233,11233,11279,11272
0500000US05129,05129,"Searcy County, Arkansas",8195,8195,8186,8036
0500000US05131,05131,"Sebastian County, Arkansas",125744,125744,125853,127127
0500000US05133,05133,"Sevier County, Arkansas",17058,17058,17147,17293
0500000US05135,05135,"Sharp County, Arkansas",17264,17264,17255,17380
0500000US05137,05137,"Stone County, Arkansas",12394,12394,12431,12603
0500000US05139,05139,"Union County, Arkansas",41639,41639,41535,41427
0500000US05141,05141,"Van Buren County, Arkansas",17295,17295,17300,17083
0500000US05143,05143,"Washington County, Arkansas",203065,203065,204061,207521
0500000US05145,05145,"White County, Arkansas",77076,77076,77332,78167
0500000US05147,05147,"Woodruff County, Arkansas",7260,7264,7265,7229
0500000US05149,05149,"Yell County, Arkansas",22185,22185,22202,22060
0500000US06001,06001,"Alameda County, California",1510271,1510271,1513043,1529875
0500000US06003,06003,"Alpine County, California",1175,1175,1162,1102
0500000US06005,06005,"Amador County, California",38091,38091,38026,37953
0500000US06007,06007,"Butte County, California",220000,220000,220000,220266
0500000US06009,06009,"Calaveras County, California",45578,45578,45485,45052
0500000US06011,06011,"Colusa County, California",21419,21419,21475,21549
0500000US06013,06013,"Contra Costa County, California",1049025,1049025,1052605,1066096
0500000US06015,06015,"Del Norte County, California",28610,28610,28634,28659
0500000US06017,06017,"El Dorado County, California",181058,181058,181151,180938
0500000US06019,06019,"Fresno County, California",930450,930450,933168,942904
0500000US06021,06021,"Glenn County, California",28122,28122,28112,28128
