year.id,Id
year.display-label,Year
hisp.id,Id
hisp.display-label,Hispanic Origin
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
totpop_sex0_age999,Total; Both Sexes; Total
wa_sex0_age999,Race Alone - White; Both Sexes; Total
ba_sex0_age999,Race Alone - Black or African American; Both Sexes; Total
ia_sex0_age999,Race Alone - American Indian and Alaska Native; Both Sexes; Total
aa_sex0_age999,Race Alone - Asian; Both Sexes; Total
na_sex0_age999,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; Total
tom_sex0_age999,Two or More Races; Both Sexes; Total
totpop_sex0_age0,Total; Both Sexes;  0
wa_sex0_age0,Race Alone - White; Both Sexes;  0
ba_sex0_age0,Race Alone - Black or African American; Both Sexes;  0
ia_sex0_age0,Race Alone - American Indian and Alaska Native; Both Sexes;  0
aa_sex0_age0,Race Alone - Asian; Both Sexes;  0
na_sex0_age0,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  0
tom_sex0_age0,Two or More Races; Both Sexes;  0
totpop_sex0_age1,Total; Both Sexes;  1
wa_sex0_age1,Race Alone - White; Both Sexes;  1
ba_sex0_age1,Race Alone - Black or African American; Both Sexes;  1
ia_sex0_age1,Race Alone - American Indian and Alaska Native; Both Sexes;  1
aa_sex0_age1,Race Alone - Asian; Both Sexes;  1
na_sex0_age1,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  1
tom_sex0_age1,Two or More Races; Both Sexes;  1
totpop_sex0_age2,Total; Both Sexes;  2
wa_sex0_age2,Race Alone - White; Both Sexes;  2
ba_sex0_age2,Race Alone - Black or African American; Both Sexes;  2
ia_sex0_age2,Race Alone - American Indian and Alaska Native; Both Sexes;  2
aa_sex0_age2,Race Alone - Asian; Both Sexes;  2
na_sex0_age2,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  2
tom_sex0_age2,Two or More Races; Both Sexes;  2
totpop_sex0_age3,Total; Both Sexes;  3
wa_sex0_age3,Race Alone - White; Both Sexes;  3
ba_sex0_age3,Race Alone - Black or African American; Both Sexes;  3
ia_sex0_age3,Race Alone - American Indian and Alaska Native; Both Sexes;  3
aa_sex0_age3,Race Alone - Asian; Both Sexes;  3
na_sex0_age3,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  3
tom_sex0_age3,Two or More Races; Both Sexes;  3
totpop_sex0_age4,Total; Both Sexes;  4
wa_sex0_age4,Race Alone - White; Both Sexes;  4
ba_sex0_age4,Race Alone - Black or African American; Both Sexes;  4
ia_sex0_age4,Race Alone - American Indian and Alaska Native; Both Sexes;  4
aa_sex0_age4,Race Alone - Asian; Both Sexes;  4
na_sex0_age4,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  4
tom_sex0_age4,Two or More Races; Both Sexes;  4
totpop_sex0_age5,Total; Both Sexes;  5
wa_sex0_age5,Race Alone - White; Both Sexes;  5
ba_sex0_age5,Race Alone - Black or African American; Both Sexes;  5
ia_sex0_age5,Race Alone - American Indian and Alaska Native; Both Sexes;  5
aa_sex0_age5,Race Alone - Asian; Both Sexes;  5
na_sex0_age5,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  5
tom_sex0_age5,Two or More Races; Both Sexes;  5
totpop_sex0_age6,Total; Both Sexes;  6
wa_sex0_age6,Race Alone - White; Both Sexes;  6
ba_sex0_age6,Race Alone - Black or African American; Both Sexes;  6
ia_sex0_age6,Race Alone - American Indian and Alaska Native; Both Sexes;  6
aa_sex0_age6,Race Alone - Asian; Both Sexes;  6
na_sex0_age6,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  6
tom_sex0_age6,Two or More Races; Both Sexes;  6
totpop_sex0_age7,Total; Both Sexes;  7
wa_sex0_age7,Race Alone - White; Both Sexes;  7
ba_sex0_age7,Race Alone - Black or African American; Both Sexes;  7
ia_sex0_age7,Race Alone - American Indian and Alaska Native; Both Sexes;  7
aa_sex0_age7,Race Alone - Asian; Both Sexes;  7
na_sex0_age7,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  7
tom_sex0_age7,Two or More Races; Both Sexes;  7
totpop_sex0_age8,Total; Both Sexes;  8
wa_sex0_age8,Race Alone - White; Both Sexes;  8
ba_sex0_age8,Race Alone - Black or African American; Both Sexes;  8
ia_sex0_age8,Race Alone - American Indian and Alaska Native; Both Sexes;  8
aa_sex0_age8,Race Alone - Asian; Both Sexes;  8
na_sex0_age8,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  8
tom_sex0_age8,Two or More Races; Both Sexes;  8
totpop_sex0_age9,Total; Both Sexes;  9
wa_sex0_age9,Race Alone - White; Both Sexes;  9
ba_sex0_age9,Race Alone - Black or African American; Both Sexes;  9
ia_sex0_age9,Race Alone - American Indian and Alaska Native; Both Sexes;  9
aa_sex0_age9,Race Alone - Asian; Both Sexes;  9
na_sex0_age9,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes;  9
