FIPS_PLACE_main_file(7767),FIPS_PLACE_2010_county(324),FIPS_PLACE_2000_county(324),FIPS_PLACE_2000_city(17365),FIPS_PLACE_2010_city(19289),,
70,1,1,65,65,,
100,3,3,100,75,,
113,5,5,113,100,,
124,6,6,116,104,,
125,7,7,124,113,,
148,9,9,125,116,,
156,11,11,135,124,,"1. Can covert FIPS_PLACE in main file to string format. Since it doesn't have any leading zeroes, no issues with bein gint type. But county and city files have leading zeroes and they are being lost when converted to int type"
160,12,12,142,125,,2. And have FIPS_PLACE as str format in county and city census files
170,13,13,148,135,,"3. If required, can add leading zeroes in strings with string formatting"
180,15,14,155,140,,
184,16,15,160,142,,4. Do we need to worry about this? Coz FIPS_PLACE in main file doesn't have any leading zeroes
198,17,16,172,148,,
200,19,17,175,150,,5. Total: from 2010 city census file DEC_10_SF1_P12_with_ann.csv had mixed types - int and str possibly due to va;ues like 53380(r38811). Better to define dtype for columns while reading large csvs since it would be memory intensive otherwise
240,20,19,180,155,,
243,21,20,184,156,,
245,23,21,190,160,,
275,25,23,198,172,,
276,27,25,199,175,,
296,28,27,200,178,,
298,29,28,205,180,,
300,31,29,212,184,,
308,33,31,225,190,,
342,35,33,230,196,,
375,36,35,232,198,,
380,37,36,235,199,,
408,39,37,240,200,,
415,41,39,243,205,,
436,43,41,244,212,,
440,45,43,245,225,,
441,47,45,250,230,,
460,49,47,262,232,,
500,50,49,275,235,,
505,51,50,276,240,,
520,53,51,280,243,,
540,55,53,295,244,,
550,57,55,296,245,,
555,59,57,298,250,,
562,60,59,300,262,,
576,61,60,316,275,,
628,63,61,320,276,,
640,65,63,325,280,,
646,67,65,332,295,,
660,68,67,340,296,,
674,69,68,342,298,,
676,70,69,350,300,,
680,71,70,364,310,,
685,73,71,370,316,,
694,75,73,372,320,,
700,77,75,375,325,,
724,78,77,380,332,,
730,79,78,394,340,,
760,81,79,396,342,,
765,83,81,400,350,,
772,85,83,408,364,,
802,86,85,415,370,,
820,87,86,417,372,,
852,89,87,424,375,,
884,90,89,436,380,,
892,91,90,440,394,,
905,93,91,441,396,,
910,95,93,450,400,,
928,97,95,460,408,,
950,99,97,464,410,,
955,100,99,468,415,,
958,101,100,475,424,,
970,103,101,484,436,,
975,105,103,496,440,,
980,107,105,500,441,,
988,109,107,505,450,,
996,110,109,514,460,,
1000,111,110,516,464,,
1010,113,111,530,468,,
1024,115,113,540,475,,
1030,117,115,550,478,,
1033,119,117,555,480,,
1052,121,119,562,484,,
1060,122,121,568,496,,
1090,123,122,572,500,,
1114,125,123,576,505,,
1132,127,125,580,514,,
1135,129,127,587,516,,
1150,130,129,590,520,,
1180,131,130,595,530,,
1185,133,131,600,535,,
1187,135,133,604,540,,
1198,137,135,618,550,,
1228,139,137,620,555,,
1240,141,139,622,562,,
1260,143,141,625,568,,
1286,145,143,628,572,,
1290,147,145,640,576,,
1300,149,147,646,580,,
1310,150,149,650,590,,
1325,151,150,660,595,,
1360,153,151,672,600,,
1380,155,153,674,604,,
1400,157,155,675,618,,
1420,159,157,676,620,,
1444,161,159,680,622,,
1450,163,161,685,625,,
1465,164,163,694,628,,
1468,165,164,700,640,,
1486,167,165,712,646,,
1520,169,167,724,650,,
1528,170,169,730,652,,
1540,171,170,737,660,,
1543,173,171,748,672,,
1550,175,173,750,674,,
1576,177,175,756,676,,
1595,179,177,760,680,,
1600,180,179,765,685,,
1605,181,180,772,694,,
1612,183,181,775,700,,
1630,185,183,784,712,,
1640,186,185,790,716,,
1660,187,186,800,724,,
1666,188,187,802,730,,
1672,189,188,815,737,,
1675,191,189,820,748,,
1684,193,191,825,750,,
1696,195,193,828,756,,
1700,197,195,835,760,,
1708,199,197,838,764,,
1710,201,198,850,765,,
1720,203,199,860,772,,
1725,205,201,865,775,,
1740,207,203,867,784,,
1750,209,205,870,786,,
1780,211,207,880,790,,
1798,213,209,884,800,,
1800,215,211,892,802,,
1852,217,213,900,815,,
1855,219,215,905,820,,
1864,220,217,910,825,,
1870,221,219,919,828,,
1881,223,220,925,835,,
1885,225,221,928,838,,
1900,227,223,940,840,,
1924,229,225,946,850,,
1955,231,227,947,860,,
1960,232,229,950,865,,
1972,233,230,955,867,,
1975,235,231,958,870,,
1990,237,233,964,880,,
2000,239,235,970,884,,
2020,240,237,971,892,,
2026,241,239,975,898,,
2040,243,240,980,900,,
2042,245,241,988,905,,
2044,247,243,996,910,,
2050,249,245,997,919,,
2060,251,247,1000,924,,
2066,253,249,1010,925,,
2080,255,251,1011,928,,
2095,257,253,1018,940,,
2100,259,255,1020,946,,
2104,261,257,1024,947,,
2110,263,259,1030,950,,
2112,265,261,1033,955,,
2116,267,263,1042,958,,
2130,269,265,1045,964,,
2140,270,267,1049,970,,
2143,271,269,1050,971,,
2154,273,270,1052,975,,
2180,275,271,1054,980,,
2184,277,273,1060,982,,
2188,279,275,1066,988,,
2198,280,277,1072,996,,
2200,281,279,1085,997,,
2212,282,281,1088,1000,,
2230,283,282,1090,1004,,
2250,285,283,1094,1010,,
2252,287,285,1108,1011,,
2260,289,287,1114,1018,,
2264,290,289,1115,1020,,
2272,291,290,1125,1024,,
2288,293,291,1132,1030,,
2300,295,293,1135,1033,,
2305,297,295,1140,1042,,
2320,299,297,1145,1045,,
2328,301,299,1150,1049,,
2340,303,301,1154,1050,,
2344,305,303,1162,1052,,
2368,307,305,1164,1054,,
2375,309,307,1180,1060,,
2380,311,309,1185,1072,,
2407,313,311,1187,1085,,
2440,315,313,1192,1088,,
2462,317,315,1198,1090,,
2476,319,317,1200,1094,,
2480,321,319,1205,1100,,
2500,323,321,1210,1108,,
2506,325,323,1220,1114,,
2548,327,325,1225,1115,,
2550,329,327,1228,1125,,
2568,331,329,1234,1132,,
2580,333,331,1240,1135,,
2585,335,333,1244,1140,,
2590,337,335,1248,1145,,
2592,339,337,1250,1150,,
2600,341,339,1252,1154,,
2620,343,341,1255,1162,,
2638,345,343,1260,1164,,
2648,347,345,1270,1170,,
2650,349,347,1275,1180,,
2655,351,349,1286,1185,,
2674,353,351,1288,1187,,
2690,355,353,1290,1192,,
2700,357,355,1300,1198,,
2736,359,357,1305,1200,,
2750,361,359,1310,1205,,
2760,363,361,1315,1210,,
2782,365,363,1324,1220,,
2795,367,365,1325,1225,,
2820,369,367,1330,1228,,
2830,371,369,1340,1234,,
2832,373,371,1342,1240,,
2836,375,373,1350,1242,,
2840,377,375,1353,1248,,
2860,379,377,1360,1250,,
2865,381,379,1361,1252,,
2868,383,381,1375,1255,,
2872,385,383,1380,1256,,
2900,387,385,1390,1260,,
2902,389,387,1396,1270,,
2908,391,389,1400,1275,,
2921,393,391,1420,1276,,
2924,395,393,1425,1286,,
2928,397,395,1426,1288,,
2935,399,397,1430,1290,,
2956,401,399,1440,1300,,
2960,403,401,1444,1305,,
3000,405,403,1447,1310,,
3001,407,405,1450,1315,,
3004,409,407,1457,1324,,
3005,411,409,1458,1325,,
3012,413,411,1465,1330,,
3040,415,413,1468,1340,,
3050,417,415,1472,1342,,
3064,419,417,1475,1350,,
3076,421,419,1480,1353,,
3078,423,421,1486,1360,,
3086,425,423,1491,1361,,
3088,427,425,1495,1375,,
3092,429,427,1500,1380,,
3100,431,429,1504,1390,,
3106,433,431,1514,1396,,
3110,435,433,1517,1400,,
3150,437,435,1520,1416,,
3160,439,437,1522,1420,,
3162,441,439,1528,1425,,
3175,443,441,1530,1426,,
3180,445,443,1535,1430,,
3200,447,445,1540,1440,,
3204,449,447,1543,1444,,
3205,451,449,1550,1450,,
3207,453,451,1560,1457,,
3216,455,453,1569,1458,,
3220,457,455,1572,1465,,
3225,459,457,1575,1468,,
3236,461,459,1576,1472,,
3250,463,461,1585,1475,,
3264,465,463,1588,1480,,
3272,467,465,1594,1486,,
3280,469,467,1595,1491,,
3300,471,469,1600,1495,,
3320,473,471,1612,1500,,
3336,475,473,1620,1504,,
3353,477,475,1625,1514,,
3355,479,477,1630,1517,,
3368,481,479,1636,1520,,
3372,483,481,1640,1522,,
3386,485,483,1648,1525,,
3390,487,485,1650,1528,,
3392,489,487,1651,1530,,
3400,491,489,1660,1535,,
3420,493,491,1666,1540,,
3425,495,493,1672,1543,,
3430,497,495,1673,1550,,
3432,499,497,1675,1556,,
3440,501,499,1682,1558,,
3455,503,501,1684,1560,,
