place_fips,STATEFP,Govt_level_x,placename,Govt_level_y,_merge
99001,1,1,Autauga County,1,both
99003,1,1,Baldwin County,1,both
99005,1,1,Barbour County,1,both
99007,1,1,Bibb County,1,both
99009,1,1,Blount County,1,both
99011,1,1,Bullock County,1,both
99013,1,1,Butler County,1,both
99015,1,1,Calhoun County,1,both
99017,1,1,Chambers County,1,both
99019,1,1,Cherokee County,1,both
99021,1,1,Chilton County,1,both
99023,1,1,Choctaw County,1,both
99025,1,1,Clarke County,1,both
99027,1,1,Clay County,1,both
99029,1,1,Cleburne County,1,both
99031,1,1,Coffee County,1,both
99033,1,1,Colbert County,1,both
99035,1,1,Conecuh County,1,both
99037,1,1,Coosa County,1,both
99039,1,1,Covington County,1,both
99041,1,1,Crenshaw County,1,both
99043,1,1,Cullman County,1,both
99045,1,1,Dale County,1,both
99047,1,1,Dallas County,1,both
99049,1,1,DeKalb County,1,both
99051,1,1,Elmore County,1,both
99053,1,1,Escambia County,1,both
99055,1,1,Etowah County,1,both
99057,1,1,Fayette County,1,both
99059,1,1,Franklin County,1,both
99061,1,1,Geneva County,1,both
99063,1,1,Greene County,1,both
99065,1,1,Hale County,1,both
99067,1,1,Henry County,1,both
99069,1,1,Houston County,4,both
99069,1,1,Houston County,1,both
99071,1,1,Jackson County,1,both
99073,1,1,Jefferson County,1,both
99075,1,1,Lamar County,1,both
99077,1,1,Lauderdale County,1,both
99079,1,1,Lawrence County,1,both
99081,1,1,Lee County,1,both
99083,1,1,Limestone County,1,both
99085,1,1,Lowndes County,1,both
99087,1,1,Macon County,1,both
99089,1,1,Madison County,1,both
99091,1,1,Marengo County,1,both
99093,1,1,Marion County,1,both
99095,1,1,Marshall County,1,both
99097,1,1,Mobile County,1,both
99099,1,1,Monroe County,1,both
99101,1,1,Montgomery County,1,both
99103,1,1,Morgan County,1,both
99105,1,1,Perry County,1,both
99107,1,1,Pickens County,1,both
99109,1,1,Pike County,1,both
99111,1,1,Randolph County,1,both
99113,1,1,Russell County,1,both
99115,1,1,St. Clair County,1,both
99117,1,1,Shelby County,1,both
99119,1,1,Sumter County,1,both
99121,1,1,Talladega County,1,both
99121,1,1,Talladega County,0,both
99123,1,1,Tallapoosa County,1,both
99125,1,1,Tuscaloosa County,1,both
99127,1,1,Walker County,1,both
99129,1,1,Washington County,1,both
99131,1,1,Wilcox County,1,both
99133,1,1,Winston County,1,both
99013,2,1,Aleutians East Borough,,left_only
99016,2,1,Aleutians West Census Area,,left_only
99020,2,1,Anchorage Municipality,,left_only
99050,2,1,Bethel Census Area,,left_only
99060,2,1,Bristol Bay Borough,1,both
99068,2,1,Denali Borough,,left_only
99070,2,1,Dillingham Census Area,,left_only
